Source_Month,Month_Label,FY_Year,Chain,NSV_Lakh
2026-04,Apr-2026,FY27,Frank Ross,13.08
2026-05,May-2026,FY27,Frank Ross,5.9
2026-06,Jun-2026,FY27,Frank Ross,0.0
2026-04,Apr-2026,FY27,Vishal Mega Mart,10.9
2026-05,May-2026,FY27,Vishal Mega Mart,0.0
2026-06,Jun-2026,FY27,Vishal Mega Mart,6.23
2026-04,Apr-2026,FY27,LULU,0.0
2026-05,May-2026,FY27,LULU,0.0
2026-06,Jun-2026,FY27,LULU,14.0
2026-04,Apr-2026,FY27,Sodhi Supermart,3.63
2026-05,May-2026,FY27,Sodhi Supermart,3.82
2026-06,Jun-2026,FY27,Sodhi Supermart,4.05
2026-04,Apr-2026,FY27,Spencers,6.01
2026-05,May-2026,FY27,Spencers,4.57
2026-06,Jun-2026,FY27,Spencers,0.0
2026-04,Apr-2026,FY27,APOLLO HEALTHCO LIMITED,10.29
2026-05,May-2026,FY27,APOLLO HEALTHCO LIMITED,0.0
2026-06,Jun-2026,FY27,APOLLO HEALTHCO LIMITED,0.0
2026-04,Apr-2026,FY27,SPENCERS,0.0
2026-05,May-2026,FY27,SPENCERS,0.0
2026-06,Jun-2026,FY27,SPENCERS,10.09
2026-04,Apr-2026,FY27,More Retail Limited,0.0
2026-05,May-2026,FY27,More Retail Limited,0.0
2026-06,Jun-2026,FY27,More Retail Limited,9.36
2026-04,Apr-2026,FY27,More Reatil,9.01
2026-05,May-2026,FY27,More Reatil,0.0
2026-06,Jun-2026,FY27,More Reatil,0.0
2026-04,Apr-2026,FY27,ABRL -MORE,8.71
2026-05,May-2026,FY27,ABRL -MORE,0.0
2026-06,Jun-2026,FY27,ABRL -MORE,0.0
2026-04,Apr-2026,FY27,Ratnadeep,3.03
2026-05,May-2026,FY27,Ratnadeep,2.49
2026-06,Jun-2026,FY27,Ratnadeep,2.7
2026-04,Apr-2026,FY27,ARAMBAGH FOOD MART,3.18
2026-05,May-2026,FY27,ARAMBAGH FOOD MART,3.73
2026-06,Jun-2026,FY27,ARAMBAGH FOOD MART,0.0
2026-04,Apr-2026,FY27,KIA Bazaar,1.69
2026-05,May-2026,FY27,KIA Bazaar,1.67
2026-06,Jun-2026,FY27,KIA Bazaar,1.55
2026-04,Apr-2026,FY27,National Mart,2.22
2026-05,May-2026,FY27,National Mart,2.4
2026-06,Jun-2026,FY27,National Mart,0.0
2026-04,Apr-2026,FY27,Frank rose,0.0
2026-05,May-2026,FY27,Frank rose,0.0
2026-06,Jun-2026,FY27,Frank rose,4.6
2026-04,Apr-2026,FY27,ABRL,1.63
2026-05,May-2026,FY27,ABRL,2.76
2026-06,Jun-2026,FY27,ABRL,0.0
2026-04,Apr-2026,FY27,FRANK ROSS,0.0
2026-05,May-2026,FY27,FRANK ROSS,0.0
2026-06,Jun-2026,FY27,FRANK ROSS,4.17
2026-04,Apr-2026,FY27,ARAMBAGH,0.0
2026-05,May-2026,FY27,ARAMBAGH,0.0
2026-06,Jun-2026,FY27,ARAMBAGH,4.15
2026-04,Apr-2026,FY27,NATIONAL MART,0.0
2026-05,May-2026,FY27,NATIONAL MART,0.0
2026-06,Jun-2026,FY27,NATIONAL MART,3.94
2026-04,Apr-2026,FY27,Sumo Save,2.56
2026-05,May-2026,FY27,Sumo Save,1.06
2026-06,Jun-2026,FY27,Sumo Save,0.0
2026-04,Apr-2026,FY27,Max Bazaar,0.9
2026-05,May-2026,FY27,Max Bazaar,1.08
2026-06,Jun-2026,FY27,Max Bazaar,1.08
2026-04,Apr-2026,FY27,HG,0.0
2026-05,May-2026,FY27,HG,0.0
2026-06,Jun-2026,FY27,HG,2.65
2026-04,Apr-2026,FY27,Max Hyper,0.38
2026-05,May-2026,FY27,Max Hyper,0.0
2026-06,Jun-2026,FY27,Max Hyper,2.06
2026-04,Apr-2026,FY27,Sastasundar,1.3
2026-05,May-2026,FY27,Sastasundar,1.07
2026-06,Jun-2026,FY27,Sastasundar,0.0
2026-04,Apr-2026,FY27,Apna Mart,2.28
2026-05,May-2026,FY27,Apna Mart,0.0
2026-06,Jun-2026,FY27,Apna Mart,0.0
2026-04,Apr-2026,FY27,Maa Durga,1.96
2026-05,May-2026,FY27,Maa Durga,0.0
2026-06,Jun-2026,FY27,Maa Durga,0.0
2026-04,Apr-2026,FY27,Manish Agencies,0.59
2026-05,May-2026,FY27,Manish Agencies,0.62
2026-06,Jun-2026,FY27,Manish Agencies,0.58
2026-04,Apr-2026,FY27,Beaute & Nutrie,0.0
2026-05,May-2026,FY27,Beaute & Nutrie,1.32
2026-06,Jun-2026,FY27,Beaute & Nutrie,0.0
2026-04,Apr-2026,FY27,SUMO SAVE,0.0
2026-05,May-2026,FY27,SUMO SAVE,0.0
2026-06,Jun-2026,FY27,SUMO SAVE,1.27
2026-04,Apr-2026,FY27,B&N,1.01
2026-05,May-2026,FY27,B&N,0.24
2026-06,Jun-2026,FY27,B&N,0.0
2026-04,Apr-2026,FY27,Fleet Labs,1.21
2026-05,May-2026,FY27,Fleet Labs,0.0
2026-06,Jun-2026,FY27,Fleet Labs,0.0
2026-04,Apr-2026,FY27,SASTA SUNDAR,0.0
2026-05,May-2026,FY27,SASTA SUNDAR,0.0
2026-06,Jun-2026,FY27,SASTA SUNDAR,1.09
2026-04,Apr-2026,FY27,Beaute&Nutrie,0.9
2026-05,May-2026,FY27,Beaute&Nutrie,0.0
2026-06,Jun-2026,FY27,Beaute&Nutrie,0.0
2026-04,Apr-2026,FY27,Needs,0.33
2026-05,May-2026,FY27,Needs,0.39
2026-06,Jun-2026,FY27,Needs,0.16
2026-04,Apr-2026,FY27,Trilife,0.16
2026-05,May-2026,FY27,Trilife,0.49
2026-06,Jun-2026,FY27,Trilife,0.09
2026-04,Apr-2026,FY27,KVSM,0.47
2026-05,May-2026,FY27,KVSM,0.02
2026-06,Jun-2026,FY27,KVSM,0.18
2026-04,Apr-2026,FY27,Beaute&nutrie,0.0
2026-05,May-2026,FY27,Beaute&nutrie,0.0
2026-06,Jun-2026,FY27,Beaute&nutrie,0.63
2026-04,Apr-2026,FY27,Garg Dastak,0.18
2026-05,May-2026,FY27,Garg Dastak,0.22
2026-06,Jun-2026,FY27,Garg Dastak,0.1
2026-04,Apr-2026,FY27,Kondli Bazaar,0.05
2026-05,May-2026,FY27,Kondli Bazaar,0.24
2026-06,Jun-2026,FY27,Kondli Bazaar,0.17
2026-04,Apr-2026,FY27,Modern Bazaar,0.33
2026-05,May-2026,FY27,Modern Bazaar,0.0
2026-06,Jun-2026,FY27,Modern Bazaar,0.0
2026-04,Apr-2026,FY27,Other,0.0
2026-05,May-2026,FY27,Other,0.29
2026-06,Jun-2026,FY27,Other,0.0
2026-04,Apr-2026,FY27,Big Rashan Bazaar,0.0
2026-05,May-2026,FY27,Big Rashan Bazaar,0.0
2026-06,Jun-2026,FY27,Big Rashan Bazaar,0.22
2026-04,Apr-2026,FY27,Medanta,0.0
2026-05,May-2026,FY27,Medanta,0.2
2026-06,Jun-2026,FY27,Medanta,0.0
2026-04,Apr-2026,FY27,BIG RASHAN BAZAR UNIT,0.19
2026-05,May-2026,FY27,BIG RASHAN BAZAR UNIT,0.0
2026-06,Jun-2026,FY27,BIG RASHAN BAZAR UNIT,0.0
2026-04,Apr-2026,FY27,Frank Rose,0.09
2026-05,May-2026,FY27,Frank Rose,0.06
2026-06,Jun-2026,FY27,Frank Rose,0.0
2026-04,Apr-2026,FY27,Smart Look,0.11
2026-05,May-2026,FY27,Smart Look,0.0
2026-06,Jun-2026,FY27,Smart Look,0.0
2026-04,Apr-2026,FY27,VISHAL,0.0
2026-05,May-2026,FY27,VISHAL,0.05
2026-06,Jun-2026,FY27,VISHAL,0.0
2026-04,Apr-2026,FY27,Cash Retail Party,0.01
2026-05,May-2026,FY27,Cash Retail Party,0.0
2026-06,Jun-2026,FY27,Cash Retail Party,0.01
