Ship To Name,Direct/Distributor,Primary Chain,Zone,State,Chains Served
RELIANCE RETAIL LIMITED-FREI,Direct,Reliance Retail,South-2,Telangana,Reliance Retail
RELIANCE RETAIL LIMITED-SF92,Direct,Reliance Retail,East,West Bengal,Reliance Retail
RELIANCE RETAIL LIMITED-SH65,Direct,Reliance Retail,West,Pune,Reliance Retail
RELIANCE RETAIL LIMITED-SH69,Direct,Reliance Retail,North,Haryana,Reliance Retail
RELIANCE RETAIL LIMITED-SH71,Direct,Reliance Retail,North,Madhya Pradesh,Reliance Retail
RELIANCE RETAIL LIMITED-SLIG,Direct,Reliance Retail,East,Northeast-Assam,Reliance Retail
RELIANCE RETAIL LIMITED-SLII,Direct,Reliance Retail,North,Lucknow_UPE,Reliance Retail
RELIANCE RETAIL LIMITED_FRIA,Direct,Reliance Retail,East,Bihar,Reliance Retail
RELIANCE RETAIL Ltd-SLEW,Direct,Reliance Retail,West,Chattishgarh,Reliance Retail
RR Traders-MT,Dist.,Vishal Mega Mart,North,Punjab,Vishal Mega Mart
Reliance Retail Limited Ce08,Direct,Reliance Retail,East,Jharkhand,Reliance Retail
Reliance Retail Limited Cf08,Direct,Reliance Retail,West,Mumbai,Reliance Retail
Reliance Retail Limited Fb08,Direct,Reliance Retail,North,Punjab,Reliance Retail
Reliance Retail Limited Fd08,Direct,Reliance Retail,South-1,Karnataka,Reliance Retail
Reliance Retail Limited R468,Direct,Reliance Retail,South-2,Andhra Pradesh,Reliance Retail
Reliance Retail Limited R701,Direct,Reliance Retail,West,Gujarat,Reliance Retail
Reliance Retail Limited R703,Direct,Reliance Retail,South-1,Tamil Nadu,Reliance Retail
Reliance Retail Limited R801,Direct,Reliance Retail,East,Orissa,Reliance Retail
Reliance Retail Limited Sc79,Direct,Reliance Retail,West,Mumbai,Reliance Retail
Reliance Retail Limited-2949,Direct,Reliance Retail,South-2,Telangana,Reliance Retail
Reliance Retail Limited-2956,Direct,Reliance Retail,East,Jharkhand,Reliance Retail
Reliance Retail Limited-2959,Direct,Reliance Retail,East,Orissa,Reliance Retail
Reliance Retail Limited-2985,Direct,Reliance Retail,South-2,Telangana,Reliance Retail
Reliance Retail Limited-6202,Direct,Reliance Retail,West,Gujarat,Reliance Retail
Reliance Retail Limited-6205,Direct,Reliance Retail,North,Haryana,Reliance Retail
Reliance Retail Limited-6206,Direct,Reliance Retail,East,Jharkhand,Reliance Retail
Reliance Retail Limited-6208,Direct,Reliance Retail,West,Pune,Reliance Retail
Reliance Retail Limited-6210,Direct,Reliance Retail,West,Mumbai,Reliance Retail
Reliance Retail Limited-6214,Direct,Reliance Retail,South-1,Tamil Nadu,Reliance Retail
Reliance Retail Limited-6217,Direct,Reliance Retail,West,Mumbai,Reliance Retail
Reliance Retail Limited-6219,Direct,Reliance Retail,West,Pune,Reliance Retail
Reliance Retail Limited-6220,Direct,Reliance Retail,West,Mumbai,Reliance Retail
Reliance Retail Limited-6224,Direct,Reliance Retail,East,Orissa,Reliance Retail
Reliance Retail Limited-6225,Direct,Reliance Retail,South-1,Karnataka,Reliance Retail
Reliance Retail Limited-6239,Direct,Reliance Retail,North,Delhi,Reliance Retail
Reliance Retail Limited-6703,Direct,Reliance Retail,West,Gujarat,Reliance Retail
Reliance Retail Limited-6705,Direct,Reliance Retail,South-1,Kerala,Reliance Retail
Reliance Retail Limited-6714,Direct,Reliance Retail,South-2,Telangana,Reliance Retail
Reliance Retail Limited-6726,Direct,Reliance Retail,North,Rajasthan,Reliance Retail
Reliance Retail Limited-6728,Direct,Reliance Retail,South-2,Telangana,Reliance Retail
Reliance Retail Limited-FOC,Direct,Reliance Retail,West,Mumbai,Reliance Retail
Reliance Retail Limited-FR04,Direct,Reliance Retail,West,Mumbai,Reliance Retail
Reliance Retail Limited-FR08,Direct,Reliance Retail,West,Mumbai,Reliance Retail
Reliance Retail Limited-FR15,Direct,Reliance Retail,West,Mumbai,Reliance Retail
Reliance Retail Limited-FR22,Direct,Reliance Retail,West,Mumbai,Reliance Retail
Reliance Retail Limited-FR23,Direct,Reliance Retail,West,Pune,Reliance Retail
Reliance Retail Limited-FR40,Direct,Reliance Retail,South-1,Karnataka,Reliance Retail
Reliance Retail Limited-FR43,Direct,Reliance Retail,South-1,Karnataka,Reliance Retail
Reliance Retail Limited-FR45,Direct,Reliance Retail,South-1,Karnataka,Reliance Retail
Reliance Retail Limited-FR46,Direct,Reliance Retail,South-1,Karnataka,Reliance Retail
Reliance Retail Limited-FR47,Direct,Reliance Retail,South-1,Karnataka,Reliance Retail
Reliance Retail Limited-FR48,Direct,Reliance Retail,South-1,Karnataka,Reliance Retail
Reliance Retail Limited-FR57,Direct,Reliance Retail,South-1,Karnataka,Reliance Retail
Reliance Retail Limited-FR63,Direct,Reliance Retail,East,Orissa,Reliance Retail
Reliance Retail Limited-FR67,Direct,Reliance Retail,East,Orissa,Reliance Retail
Reliance Retail Limited-FR69,Direct,Reliance Retail,East,Orissa,Reliance Retail
Reliance Retail Limited-FR73,Direct,Reliance Retail,East,West Bengal,Reliance Retail
Reliance Retail Limited-FR74,Direct,Reliance Retail,East,West Bengal,Reliance Retail
Reliance Retail Limited-FR78,Direct,Reliance Retail,East,West Bengal,Reliance Retail
Reliance Retail Limited-FR92,Direct,Reliance Retail,South-1,Kerala,Reliance Retail
Reliance Retail Limited-FR93,Direct,Reliance Retail,South-1,Kerala,Reliance Retail
Reliance Retail Limited-FR94,Direct,Reliance Retail,South-1,Kerala,Reliance Retail
Reliance Retail Limited-FR95,Direct,Reliance Retail,South-1,Kerala,Reliance Retail
Reliance Retail Limited-FR96,Direct,Reliance Retail,South-1,Kerala,Reliance Retail
Reliance Retail Limited-FR97,Direct,Reliance Retail,South-1,Kerala,Reliance Retail
Reliance Retail Limited-FR98,Direct,Reliance Retail,South-1,Kerala,Reliance Retail
Reliance Retail Limited-FRAR,Direct,Reliance Retail,East,Jharkhand,Reliance Retail
Reliance Retail Limited-FRAU,Direct,Reliance Retail,East,Jharkhand,Reliance Retail
Reliance Retail Limited-FRAW,Direct,Reliance Retail,East,Jharkhand,Reliance Retail
Reliance Retail Limited-FRAY,Direct,Reliance Retail,East,Jharkhand,Reliance Retail
Reliance Retail Limited-FRBC,Direct,Reliance Retail,North,Haryana,Reliance Retail
