Ship To Name,Direct/Distributor,Primary Chain,Zone,State,Chains Served
Trent Hypermarket Private Limited_Blr,Direct,Trent,South-1,Karnataka,Trent
Trent Hypermarket Private Limited_Mah,Direct,Trent,West,Mumbai,Trent
United Marketing_Mt,Dist.,Apollo,West,Goa,Apollo
United Marketing_Mt-Ship to,Dist.,Apollo,West,Goa,Apollo
V-Mart Retail Limited-148-BIRSA-JH,Direct,V-Mart,East,Jharkhand,V-Mart
V-Mart Retail Limited-478-BARPETA-AS,Direct,V-Mart,East,Northeast-Assam,V-Mart
V-Mart Retail Limited-563-HAZARIBAGH-JH,Direct,V-Mart,East,Jharkhand,V-Mart
V-Mart Retail Limited-567-CUTTACK-OR,Direct,V-Mart,East,Orissa,V-Mart
V-Mart Retail Limited-629-UDAIPUR-TR,Direct,V-Mart,East,Tripura,V-Mart
V-Mart Retail Limited-AR-1,Direct,V-Mart,East,Northeast-Assam,V-Mart
V-Mart Retail Limited-Bardham-WB,Direct,V-Mart,East,West Bengal,V-Mart
V-Mart Retail Limited-Belonia,Direct,V-Mart,East,Tripura,V-Mart
V-Mart Retail Limited-Hooghly-WB,Direct,V-Mart,East,West Bengal,V-Mart
V-Mart Retail Limited-KA,Direct,V-Mart,South-1,Karnataka,V-Mart
V-Mart Retail Limited-OR,Direct,V-Mart,East,Orissa,V-Mart
V-Mart Retail Limited-Palwal,Direct,V-Mart,North,Haryana,V-Mart
V-Mart Retail Limited-Sonitpur-AS,Direct,V-Mart,East,Northeast-Assam,V-Mart
V-Mart Retail Limited-Sualkuchi-AS,Direct,V-Mart,East,Northeast-Assam,V-Mart
V-Mart Retail Limited-TR,Direct,V-Mart,East,Tripura,V-Mart
V-Mart Retail Limited-TR-2,Direct,V-Mart,East,Tripura,V-Mart
V-Mart Retail Limited-Tura-ML,Direct,V-Mart,East,Meghalaya,V-Mart
V-Mart Retail Limited-WB,Direct,V-Mart,East,West Bengal,V-Mart
VENKATESHWARA AGENCIES-TG,Dist.,Health & Glow,South-2,Telangana,Apollo; B&N; Health & Glow; Lulu; More Retail; National Mart; Ratnadeep; Spencers
VISHAL ENTERPRISES_Solapur,Dist.,D-Mart,West,Pune,D-Mart
Vanaja Agencies MT_Dmart,Dist.,D-Mart,South-2,Telangana,D-Mart
Vanaja Agencies_Mt,Dist.,Reliance Retail,South-2,Telangana,Apollo; B&N; D-Mart; Health & Glow; Lulu; More Retail; Ratnadeep; Reliance Retail; Vijetha
Wal-Mart India Private Limited 4702,Direct,Walmart CNC,North,Punjab,Walmart CNC
Wal-Mart India Private Limited 4703,Direct,Walmart CNC,North,Punjab,Walmart CNC
Wal-Mart India Private Limited 4706,Direct,Walmart CNC,North,Punjab,Walmart CNC
Wal-Mart India Private Limited 4712,Direct,Walmart CNC,North,Madhya Pradesh,Walmart CNC
Wal-Mart India Private Limited 4713,Direct,Walmart CNC,North,Rajasthan,Walmart CNC
Wal-Mart India Private Limited 4716,Direct,Walmart CNC,West,Chattishgarh,Walmart CNC
Wal-Mart India Private Limited 4717,Direct,Walmart CNC,North,Punjab,Walmart CNC
Wal-Mart India Private Limited 4719,Direct,Walmart CNC,North,Jammu,Walmart CNC
Wal-Mart India Private Limited 4720,Direct,Walmart CNC,North,UPW,Walmart CNC
Wal-Mart India Private Limited 4721,Direct,Walmart CNC,South-2,Andhra Pradesh,Walmart CNC
Wal-Mart India Private Limited 4723,Direct,Walmart CNC,North,Lucknow_UPE,Walmart CNC
Wal-Mart India Private Limited 4724,Direct,Walmart CNC,West,Pune,Walmart CNC
Wal-Mart India Private Limited 4725,Direct,Walmart CNC,South-2,Andhra Pradesh,Walmart CNC
Wal-Mart India Private Limited 4727,Direct,Walmart CNC,North,Lucknow_UPE,Walmart CNC
Wal-Mart India Private Limited 4729,Direct,Walmart CNC,North,Madhya Pradesh,Walmart CNC
Wal-Mart India Private Limited 4734,Direct,Walmart CNC,South-2,Telangana,Walmart CNC
Wal-Mart India Private Limited 4742,Direct,Walmart CNC,South-2,Andhra Pradesh,Walmart CNC
Wal-Mart India Private Limited 4744,Direct,Walmart CNC,West,Pune,Walmart CNC
Wal-Mart India Private Limited 4760,Direct,Walmart CNC,North,Madhya Pradesh,Walmart CNC
Wal-Mart India Private Limited 4797,Direct,Walmart CNC,North,Lucknow_UPE,Walmart CNC
Wal-Mart India Private Limited 4799,Direct,Walmart CNC,South-2,Andhra Pradesh,Walmart CNC
Wal-Mart India Private Limited 4801,Direct,Walmart CNC,North,Punjab,Walmart CNC
Wal-Mart India Private Limited 4803,Direct,Walmart CNC,North,Madhya Pradesh,Walmart CNC
Wal-Mart India Private Limited 4805,Direct,Walmart CNC,South-2,Andhra Pradesh,Walmart CNC
Wal-Mart India Private Limited 4813,Direct,Walmart CNC,South-2,Telangana,Walmart CNC
Wal-Mart India Private Limited 4814,Direct,Walmart CNC,South-2,Andhra Pradesh,Walmart CNC
Wellness Forever Medicare Ltd,Direct,Wellness Forever,West,Mumbai,Wellness Forever
