Store Code,Store Name,Chain,Account,Zone,State,City
FR04,MATUNGA-ERA HOUSE,Reliance Retail,Reliance,West,Mumbai,Mumbai
FR08,SEAWOODS,Reliance Retail,Reliance,West,Mumbai,NAVI MUMBAI
FR10, Bhayander,Reliance Retail,Reliance,West,Mumbai,Thane
FR15,VIVA CITY MALL,Reliance Retail,Reliance,West,Mumbai,Mumbai
FR22,Vashi Inorbit,Reliance Retail,Reliance,West,Mumbai,NAVI MUMBAI
FR23,DEOLALI-URBAN SPACE,Reliance Retail,Reliance,West,Maharashtra,Nasik
FR27, DB mall Bhopal,Reliance Retail,Reliance,North,Madhya Pradesh,Bhopal
FR30,MALHAR MEGA MALL,Reliance Retail,Reliance,North,Madhya Pradesh,Indore
FR31,TREASURE ISLAND,Reliance Retail,Reliance,North,Madhya Pradesh,Indore
FR40,HYPERCITY-BENGALURU-ROYAL MEEN,Reliance Retail,Reliance,South,Karnataka,Bangalore
FR43,smart bazar-BENGALURU-VB COLONY-ED(BANASWADI),Reliance Retail,Reliance,South,Karnataka,Bangalore
FR45,BANASHANKARI,Reliance Retail,Reliance,South,Karnataka,Bengaluru
FR46,Smart Bazaar - BENGALURU-HEBBAL-MARUTHI ARCADE,Reliance Retail,Reliance,South,Karnataka,Bangalore
FR47,Smart Bazaar - JAYANAGAR,Reliance Retail,Reliance,South,Karnataka,Bangalore
FR48,SMART BAZAAR MALLESHWARAM,Reliance Retail,Reliance,South,Karnataka,Bangalore
FR49, RAJAJI NAGAR ,Reliance Retail,Reliance,South,Karnataka,Bengaluru
FR50,KUNDANAHALLI,Reliance Retail,Reliance,South,Karnataka,Bangalore
FR57,SB MYSORE CHAMRAJPURAM,Reliance Retail,Reliance,South,Karnataka,MYSORE
FR60, ALPHA ONE,Reliance Retail,Reliance,West,Gujarat,Ahmedabad
FR62,KRISHNA PLAZA,Reliance Retail,Reliance,East,Orissa,Bhubaneshwar
FR63,ESPLANADE MALL,Reliance Retail,Reliance,East,Orissa,Bhubaneshwar
FR64,FORUM,Reliance Retail,Reliance,East,Orissa,Bhubaneshwar
FR67,smart bazar-BHUBANESHWAR-DN REGALIA,Reliance Retail,Reliance,East,Orissa,Bhubaneswar
FR69,SBZ OD PURI GURU EMPIRES,Reliance Retail,Reliance,East,ODISHA,Puri
FR71,Vizag (Dwarka Nagar),Reliance Retail,Reliance,South,Andhra Pradesh,Visakhapatnam
FR73,COSMOS MALL,Reliance Retail,Reliance,East,West Bengal,Siliguri
FR74,smart bazar-SILIGURI-SKY STAR,Reliance Retail,Reliance,East,WEST BENGAL,Siliguri
FR76,RINK MALL,Reliance Retail,Reliance,East,West Bengal,DARJILING
FR78,SBZ WB Jalpaiguri PRM MARKET C,Reliance Retail,Reliance,East,West Bengal,Jalpaiguri
FR92,Smart Bazaar - Mg Road-Kochi,Reliance Retail,Reliance,South,Kerala,Kochi
FR93,Smart Bazaar - Nucleus Mall,Reliance Retail,Reliance,south,Kerala,Ernakulam
FR94,Smart Bazaar - Kottayam,Reliance Retail,Reliance,South,Kerala,Kottayam
FR95,Smart Bazaar - Palakkad,Reliance Retail,Reliance,South,Kerala,Palakkad
FR96,PVH CITY PARK,Reliance Retail,Reliance,South,Kerala,Kozhikode
FR97,Pazhavangadi,Reliance Retail,Reliance,South,Kerala,Thiruvananthapuram
FR98,Smart Bazaar -Pattom,Reliance Retail,Reliance,South,Kerala,Thiruvananthapuram
FRAQ,B G TOWER-KANKE ROAD,Reliance Retail,Reliance,East,Jharkhand,Ranchi
FRAR,J C TOWER,Reliance Retail,Reliance,East,Jharkhand,Ranchi
FRAT,CENTRAL AVENUE-STEEL CITY,Reliance Retail,Reliance,East,Jharkhand,Bokaro
FRAU,P & M MALL,Reliance Retail,Reliance,East,Jharkhand,Jamshedpur
FRAW,SBZ JH DHANBAD SRIRAM MALL,Reliance Retail,Reliance,East,JHARKHAND,Dhanbad
FRAX,smart bazar-KODERMA-UJALA COMPLEX,Reliance Retail,Reliance,East,JHARKHAND,Koderma
FRAY,smart bazar- DEOGHAR- SUBHASH ROAD,Reliance Retail,Reliance,East,JHARKHAND,Deoghar
FRBC,BB-AMBALA-RAI MARKET,Reliance Retail,Reliance,North,Haryana,Ambala
FRBD, ELANTE MALL,Reliance Retail,Reliance,North,Punjab,Chandigarh
FRBF,BB-BADDI-HOMELAND CI,Reliance Retail,Reliance,North,Himachal Pradesh,Baddi
FRBH,KOMPALLY-QUTHABULAPUR MANDA,Reliance Retail,Reliance,South,Telangana,Hyderabad
FRBJ,AMEERPET,Reliance Retail,Reliance,South,Telangana,Hyderabad
FRBK,TARNAKA HYDERABAD,Reliance Retail,Reliance,South,Telangana,Hyderabad
FRBM,MADHAPUR Inorbit,Reliance Retail,Reliance,south,TELANGANA,Hyderabad
FRBN,MAHESHWARI,Reliance Retail,Reliance,South,Telangana,Hyderabad
FRBO,SAIDABAD-ARIHANT TOWER,Reliance Retail,Reliance,South,Telangana,Hyderabad
FRBQ,Smart Bazaar - Thrissur,Reliance Retail,Reliance,South,Kerala,Thrissur
FRBR,SUN CITY MALL,Reliance Retail,Reliance,East,West Bengal,Barasat
FRBS,AVANI,Reliance Retail,Reliance,East,West Bengal,Howrah
FRBT,smart bazar-KOLKATA-BIRATI,Reliance Retail,Reliance,East,WEST BENGAL,KOLKATA
FRBU,DCN MALL-JESSORE ROAD,Reliance Retail,Reliance,East,West Bengal,KOLKATA
FRBV,HILAND PARK-THE METROPOLIS,Reliance Retail,Reliance,East,West Bengal,KOLKATA
FRBW,JADAVPUR-ORBIT MALL,Reliance Retail,Reliance,East,West Bengal,KOLKATA
FRCA,RASHBEHARI AVENUE,Reliance Retail,Reliance,East,West Bengal,KOLKATA
FRCB,SALT LAKE,Reliance Retail,Reliance,East,West Bengal,KOLKATA
FRCC,SEALDAH,Reliance Retail,Reliance,East,West Bengal,KOLKATA
FRCF,V.I.P. ROAD,Reliance Retail,Reliance,East,West Bengal,KOLKATA
FRCG,WOOD SQUARE MALL-PARGANAS,Reliance Retail,Reliance,East,West Bengal,KOLKATA
FRCH,GALAXY MALL-BURNPUR ROAD,Reliance Retail,Reliance,East,West Bengal,Asansol
FRCJ,JELKHANA MORE,Reliance Retail,Reliance,East,West Bengal,Barddhaman
FRCK,Durgapur,Reliance Retail,Reliance,East,West Bengal,Durgapur
FRCL,smart bazar-HALDIA-CITY CENTER,Reliance Retail,Reliance,East,WEST BENGAL,Haldia
FRCO,AMBI MALL,Reliance Retail,Reliance,North,NCR,Gurugram
FRCP,BB-GURGAON-OMAXE SOH,Reliance Retail,Reliance,North,NCR,Gurugram
FRCQ,SAHARA MALL,Reliance Retail,Reliance,North,NCR,Gurugram
FRCS,ORCHARD ROAD MALL,Reliance Retail,Reliance,North,Delhi,Delhi
FRCT, _DWARKA,Reliance Retail,Reliance,North,Delhi,Delhi
FRCX,VASANT KUNJ-AMBIA (VK2),Reliance Retail,Reliance,North,Delhi,Delhi
FRDA,V3S MALL,Reliance Retail,Reliance,North,Delhi,Delhi
FRDB,KALKAJI METRO STATION,Reliance Retail,Reliance,North,Delhi,Delhi
FRDE,FB-GHAZIABAD-SHIPRA,Reliance Retail,Reliance,North,NCR,Ghaziabad
FRDF,MALL OF INDIA,Reliance Retail,Reliance,North,NCR,Noida
FRDH,OPULENT MALL-ED,Reliance Retail,Reliance,North,NCR,Ghaziabad
FRDI,  Mahagun,Reliance Retail,Reliance,North,NCR,Ghaziabad
FRDJ,ADITYA MALL,Reliance Retail,Reliance,North,NCR,Ghaziabad
FRDK,GREAT INDIA PLACE,Reliance Retail,Reliance,North,NCR,Noida
FRDL,LOGIX CITY CENTER,Reliance Retail,Reliance,North,NCR,Noida
FRDM,GAUR CITY,Reliance Retail,Reliance,North,NCR,Noida
FRDP,PINK SQUARE MALL,Reliance Retail,Reliance,North,Rajasthan,JAIPUR
FRDT,JHALAWAR ROAD,Reliance Retail,Reliance,North,Rajasthan,Kota
FRDU,VIDYANAGAR ROAD,Reliance Retail,Reliance,West,Gujarat,Anand
FRDV,SHALIMAR TALKIES,Reliance Retail,Reliance,West,Gujarat,Bharuch
FRDY,KAMDHENU CORP,Reliance Retail,Reliance,West,Gujarat,Surat
FRDZ,INORBIT MALL,Reliance Retail,Reliance,West,Gujarat,Vadodara
FREB,SEVENSEAS MALL,Reliance Retail,Reliance,West,Gujarat,Vadodara
FREM,CELEBRATION MALL-MF,Reliance Retail,Reliance,North,Rajasthan,Udaipur
FRER,OLD OLYMPIC CINEMA,Reliance Retail,Reliance,North,Rajasthan,Jodhpur
FREX,Z SQUARE MALL-M G ROAD,Reliance Retail,Reliance,North,Uttar Pradesh,Kanpur
FRFA,PHOENIX MARKET CITY,Reliance Retail,Reliance,North,Uttar Pradesh,Bareilly
FRFB,GOLDIGHI COMPLEX,Reliance Retail,Reliance,East,Assam,Silchar
FRFC, MOUZA-NAGARMHAL-PATTA NO 99,Reliance Retail,Reliance,East,Assam,Jorhat
FRFD,MOUZA SAMBALPUR T,Reliance Retail,Reliance,East,Orissa,Sambalpur
FRFH,RUPESHI CINEMA,Reliance Retail,Reliance,East,TRIPURA,Agartala
FRFJ,Smart Bazaar - BIDAR-BVB COLLEGE,Reliance Retail,Reliance,South,Karnataka,Bidar
FRFK,IP GRAND,Reliance Retail,Reliance,North,Uttar Pradesh,Varanasi
FRFP,BAILEY ROAD-KHAJEPURA,Reliance Retail,Reliance,East,Bihar,Patna
FRFQ,SBZ KN Shivamogga KSRTC BUS ST,Reliance Retail,Reliance,South,Karnataka,Shivamogga
FRFR,METROPOLIS MALL,Reliance Retail,Reliance,North,Uttarakhand,Rudrapur
FRFU,KAZMI OASIS,Reliance Retail,Reliance,East,Bihar,Gaya
FRFV,GIRJANANDAN COMPLEX,Reliance Retail,Reliance,East,Bihar,Muzaffarpur
FRGA,BB-KANGARA-MAHESH RA,Reliance Retail,Reliance,North,Himachal Pradesh,Kangra
FRGC,ORDELY MALL,Reliance Retail,Reliance,North,Uttar Pradesh,Varanasi
FRGE,NAGI HOUSE,Reliance Retail,Reliance,East,NAGALAND,Dimapur
FRGF,AIRPORT ROAD,Reliance Retail,Reliance,North,Uttar Pradesh,Gorakhpur
FRGH,A.T.ROAD,Reliance Retail,Reliance,East,Assam,Dibrugarh
FRGK,CITY SQUARE MALL,Reliance Retail,Reliance,North,Jammu & Kashmir,Jammu
FRGM,CITY CENTER MALL-VIL,Reliance Retail,Reliance,West,Chhattisgarh,Raipur
FRGN,ADITYA MALL CINEM,Reliance Retail,Reliance,West,Gujarat,Gandhidham
FRGO,DB Mall Gwalior,Reliance Retail,Reliance,North,Madhya Pradesh,Gwalior
FRGQ,DURGA CITY CENTER,Reliance Retail,Reliance,North,Uttarakhand,Haldwani
FRGS,K P MALL,Reliance Retail,Reliance,East,Bihar,Patna
FRGU,SBZ BH Darbhanga JHA COMPLEX,Reliance Retail,Reliance,East,Bihar,Darbhanga
FRGW,SANJAY PLACE-MF,Reliance Retail,Reliance,North,Uttar Pradesh,Agra
FRGX,MANGALORE ATTAVARA,Reliance Retail,Reliance,South,Karnataka,Mangalore
FRHC,SAHARA MALL,Reliance Retail,Reliance,North,Uttar Pradesh,Lucknow
FRHF,ANCHOR STORE,Reliance Retail,Reliance,North,Uttar Pradesh,Kanpur
FRHI,SBZ KN Udupi T.M.A. PAI HOSPIT,Reliance Retail,Reliance,South,Karnataka,Udupi
FRHJ,MLB ROAD-DINDAYAL C,Reliance Retail,Reliance,North,Madhya Pradesh,Gwalior
FRHK,CITY SQUARE,Reliance Retail,Reliance,East,Assam,Guwahati
FRHL,Smart Bazaar - BELGAUM-TILAK WADI,Reliance Retail,Reliance,South,Karnataka,Belgaum
FRHM,NARMADA ROAD,Reliance Retail,Reliance,North,Madhya Pradesh,Jabalpur
FRHR,PHOENIX MALL,Reliance Retail,Reliance,North,Uttar Pradesh,Lucknow
FRHT,PNM MALL-LOYALA SCHOOL,Reliance Retail,Reliance,East,Bihar,Patna
FRLF,Khdidarpur,Reliance Retail,Reliance,East,West Bengal,Khdidarpur
SLMP,ChandKheda,Reliance Retail,Reliance,West,Gujarat,Ahmedabad
T0BL,BISMI KALOOR,Reliance Retail,Reliance,South,Kerala,Cochi
T0BU,BISMI PALAKKAD,Reliance Retail,Reliance,South,Kerala,Palakkad
T0BV,BISMI PERINTHALMANNA,Reliance Retail,Reliance,South,Kerala,Malappuram
T0CK,BISMI KALAMASSERY,Reliance Retail,Reliance,South,Kerala,Cochi
T0CP,Bismi Muvattupuzha,Reliance Retail,Reliance,South,Kerala,Muvattupuzha
T0L4,Bismi Kaloor,Reliance Retail,Reliance,South,Kerala,Kaloor
T0L5,Bismi Kalamaserry,Reliance Retail,Reliance,South,Kerala,Kalamaserry
T0L7,Bismi Palakkad,Reliance Retail,Reliance,South,Kerala,Palakkad
T0M3,Bismi Perinthalmanna,Reliance Retail,Reliance,South,Kerala,Perinthalmanna
T0MG,BISMI MUVATTUPUZHA,Reliance Retail,Reliance,South,Kerala,Cochi
T0YK,Srikakulam,Reliance Retail,Reliance,South,Andhra Pradesh,SRIKAKULAM
T0Z9,Himmat Nagar,Reliance Retail,Reliance,West,Gujarat,HIMATNAGAR
T15Z,SMT OD ROURKELA PLUTTON MALL,Reliance Retail,Reliance,East,ODISHA,Rourkela
T1CT,Malda - smart bazar,Reliance Retail,Reliance,East,WEST BENGAL,WEST BENGAL
T1EC,Gangtok,Reliance Retail,Reliance,East,Sikkim,Gangtok
T1NC,Varkkala,Reliance Retail,Reliance,south,Kerala,Trivandrum
T1NE,SMART Motihari,Reliance Retail,Reliance,East,BIHAR,Motihari
T1X4,Kozhencherry,Reliance Retail,Reliance,South,Kerala,Pathanamthitta
T2DI,SMT KR SIRSI BANAVASI ROAD,Reliance Retail,Reliance,south,KARNATAKA,SIRSI
T2DO,SMART Gaya Civil lines,Reliance Retail,Reliance,East,BIHAR,Faya
T2EA,SMT BH PATNA GOLA ROAD,Reliance Retail,Reliance,East,Bihar,Patna
T37T,Prayagraj,Reliance Retail,Reliance,North,Uttar Pradesh,Allahabad
T42N,Nizamabad,Reliance Retail,Reliance,South,Telangana,Nizamabad
T48P,Smart Bazaar - Faridabad ,Reliance Retail,Reliance,North,NCR,Faridabad 
T48W,Smart Madikeri,Reliance Retail,Reliance,South,Karnataka,Madikeri
T5WH,bongaingaon,Reliance Retail,Reliance,East,aSSAM,bongaingaon
T60M,SMART Sipara,Reliance Retail,Reliance,East,BIHAR,Sipara
T62I,Raipur,Reliance Retail,Reliance,West,Chhattisgarh,RAIPUR
T63A,SMT OR Cuttack,Reliance Retail,Reliance,East,Orissa,Cuttack
T64J,Dhubri,Reliance Retail,Reliance,East,ASSAM,Dhubri
T6XJ,laxmi Narayan Temple,Reliance Retail,Reliance,South,Karnataka,KUNDAPURA
T84I,Smart Bahadurgarh,Reliance Retail,Reliance,North,Haryana,Bahadurgarh
T84L,Roongta Signature,Reliance Retail,Reliance,West,Gujarat,Surat
T89W,Smart Barbil,Reliance Retail,Reliance,East,Orissa,Barbil
T913,RRL Smart Jaipuria Mall,Reliance Retail,Reliance,North,NCR,Ghaziabad
T914,MBD Neopolis Mall,Reliance Retail,Reliance,North,Punjab,Ludhiana
T915,Signature Street,Reliance Retail,Reliance,North,NCR,Ghaziabad
T946,Paras Mall,Reliance Retail,Reliance,North,Rajasthan,UDAIPUR
T971,M3M Urbana Premium,Reliance Retail,Reliance,North,NCR,Gurugram
T9SE,Smart Kurukshetra,Reliance Retail,Reliance,North,Haryana,Kurukshetra
TA35,Karaparamb,Reliance Retail,Reliance,South,Kerala,Kozhikode
TA36,SMT TN Chn Iyyapanthangal,Reliance Retail,Reliance,South,Tamilnadu,Chennai
TA5I,SMART Bhagalpur,Reliance Retail,Reliance,East,BIHAR,Bhagalpur
TA5L,Smart Tezpur,Reliance Retail,Reliance,East,ASSAM,Tezpur
TA7A,SMART Siwan,Reliance Retail,Reliance,East,BIHAR,Sabalpur
TA7C,Smart Palampur,Reliance Retail,Reliance,North,Himachal Pradesh,Palampur
TA9N,Smart Bolpur,Reliance Retail,Reliance,East,WEST BENGAL,Bolpur
TAFW, R Mall,Reliance Retail,Reliance,West,Mumbai,Thane
TAH3,Gorakhpur,Reliance Retail,Reliance,North,Uttar Pradesh,Gorakhpur
