Article Code,Article Description,EAN Code,Brand,Category,Sub-category,Range,Pack Size
110722.0,1% Salicylic Acid Foaming Daily FaceWash,8904417301076.0,The Derma Co.,Face,Face Cleanser,Salicylic Acid,100.0
494261538.0,Illuminate+ Smoothie Face Wash 100ml,8904417308440.0,Aqualogica,Face,Face Cleanser,Illuminate+,100.0
494396865.0,Illuminate+ Dewy Sunscreen SPF 50+ PA++++ 50g,8904417311389.0,Aqualogica,Face,Sun Care,Illuminate+,50.0
494418133.0,Barrier+ Hydra Gel Moisturizer 200g,8904417314021.0,Aqualogica,Face,Moisturisers,Barrier+,200.0
494418132.0,Illuminate+ Hydra Gel Moisturizer 200g,8904417314014.0,Aqualogica,Face,Moisturisers,Illuminate+,200.0
494418131.0,Glow+ Hydra Gel Moisturizer 200g,8904417314007.0,Aqualogica,Face,Moisturisers,Glow+,200.0
,Ceramide & Vitamin C Sunscreen - 80 gm,8906148700579.0,Dr. Sheth's,Face,Sun Care,Ceramide & Vitamin C,80.0
,Kesar & Kojic Acid Oil- Free Moisturizer - 50 gm,8906148700869.0,Dr. Sheth's,Face,Moisturisers,Kesar & Kojic Acid,50.0
,Dr. Sheth's Kesar & Kojic Acid Sunscreen - 80 gm,8906148701125.0,Dr. Sheth's,Face,Sun Care,Kesar & Kojic Acid,80.0
578007.0,Dr Sheth's Kesar & Kojic Acid Face Wash - 100g,8906148700821.0,Dr. Sheth's,Face,Face Cleanser,Kesar & Kojic Acid,100.0
491938252.0,Mama Earth Onion Hair Mask 200 ML,8906087771685.0,Mamaearth,Hair,Hair Mask,Onion,200.0
491938269.0,Bye Bye Blemishes Face Cream for Reducing Pigmentation & Blemishes with Mulberry Extract & Vitamin C Ã¯Â¿Â½ 30ml,8906087771944.0,Mamaearth,Face,Face Cream,Solution Oriented,30.0
491938301.0,Skin Illuminate Face Serum for Radiant Skin with Vitamin C & Turmeric Ã¯Â¿Â½ 30 gm,8906087772279.0,Mamaearth,Face,Face Serum,Vitamin C,30.0
102205411.0,ME Baby Nourishing Hair Oil 200 ml,8906087772545.0,Mamaearth,Baby,Hair Oil,Solution Oriented,200.0
MAM0465,ME Vitamin C Daily Glow Face Wash 250 ml,8906087773924.0,Mamaearth,Face,Face Cleanser,Vitamin C,250.0
492411054.0,Nourishing Bathing Bar For Kids Ã¯Â¿Â½ 75gx5,8906087774020.0,Mamaearth,Baby,Kids Soap,Solution Oriented,375.0
1312389,Ubtan Day Cream 50 g,8906087776628.0,Mamaearth,Face,Face Cream,Ubtan,50.0
