Brand,EAN,First_Observed,Num_Chains,Observed_Chains,Total_Rows,Total_NSV_Lakh
DR. SHETHS,8906148700487,2026-07,3,APOLLO PHARMACY|HEALTH & GLOW|NYKAA E-RETAIL LIMITED,6,0.1067853
DR. SHETHS,8906148701125,2026-08,1,NYKAA E-RETAIL LIMITED,1,0.077039
DR. SHETHS,8906148702078,2026-07,1,HEALTH & GLOW,7,0.0331258
DR. SHETHS,8906148700371,2026-07,1,HEALTH & GLOW,1,0.0029601999999999996
MAMAEARTH,8904417314298,2026-07,34,AIRPLAZA|APOLLO PHARMACY|ARAMBAGH|AZ ENTERPRISES-H&G|AZ ENTERPRISES-MT|BALAJI ASSOCIATES DISTRIBUTOR MT|CHOUDHARY ENTERPRISES|D-MART-OFFLINE|D.L. SALES - MT|DMART|FRANK ROSS|G.V ENTERPRISES|HEALTH & GLOW|JUST MARK-D-MART|KIRAN TRADING COMPANY-SOLAPUR-D-MART|LULU HYPER|MANOJ SOAP AGENCY-MT|METRO-CNC-RRL|MORE RETAIL|NYKAA E-RETAIL LIMITED|RELIANCE RETAIL|RR TRADERS-MT|SANCUS NETWORKS-MT-REG.|SASTA SUNDAR|SEHAJ ENTERPRISES -MT-JK|SPENCER|SRI VIJAYA DURGA AGENCIES|STAR BAZAAR|SUMO SAVE|TRAVEL NEWS SERVICES-WSMITH|TROY TRADEX-MT-OR -EAST|V-MART|VENKATESHWARA AGENCIES-TG|VMM,454,303.7321210355932
MAMAEARTH,8906087771807,2026-07,31,AIRPLAZA|APOLLO PHARMACY|ARAMBAGH|AZ ENTERPRISES-MT|BALAJI ASSOCIATES DISTRIBUTOR MT|CHOUDHARY ENTERPRISES|D-MART-OFFLINE|D.L. SALES - MT|DMART|FRANK ROSS|G.V ENTERPRISES|HEALTH & GLOW|JUST MARK-D-MART|KIRAN TRADING COMPANY-SOLAPUR-D-MART|LULU HYPER|MANOJ SOAP AGENCY-MT|METRO-CNC-RRL|MORE RETAIL|NYKAA E-RETAIL LIMITED|RELIANCE RETAIL|RR TRADERS-MT|SANCUS NETWORKS-MT-REG.|SASTA SUNDAR|SEHAJ ENTERPRISES -MT-JK|SPENCER|SRI VIJAYA DURGA AGENCIES|SUMO SAVE|TROY TRADEX-MT-OR -EAST|VENKATESHWARA AGENCIES-TG|VMM|WELLNESS FOREVER,437,250.72469864761905
MAMAEARTH,8906087779032,2026-07,28,AIRPLAZA|APOLLO PHARMACY|ARAMBAGH|CHOUDHARY ENTERPRISES|D-MART-OFFLINE|DMART|FRANK ROSS|G.V ENTERPRISES|GUARDIAN HEALTHCARE-DELHI|HEALTH & GLOW|KIRAN TRADING COMPANY-SOLAPUR-D-MART|LULU HYPER|MANOJ SOAP AGENCY-MT|METRO-CNC-RRL|MORE RETAIL|NYKAA E-RETAIL LIMITED|RELIANCE RETAIL|RR TRADERS-MT|SANCUS NETWORKS-MT-REG.|SASTA SUNDAR|SEHAJ ENTERPRISES -MT-JK|SPENCER|SUMO SAVE|TROY TRADEX-MT-OR -EAST|V-MART|VENKATESHWARA AGENCIES-TG|VMM|WELLNESS FOREVER,523,175.73467641864406
MAMAEARTH,8906087772187,2026-07,15,APOLLO PHARMACY|ARAMBAGH|BALAJI ASSOCIATES DISTRIBUTOR MT|D.L. SALES - MT|FRANK ROSS|HEALTH & GLOW|MORE RETAIL|NYKAA E-RETAIL LIMITED|RELIANCE RETAIL|SASTA SUNDAR|SRI VIJAYA DURGA AGENCIES|SUMO SAVE|TRAVEL NEWS SERVICES-WSMITH|V-MART|VENKATESHWARA AGENCIES-TG,197,166.4629529
MAMAEARTH,8904417300512,2026-07,22,ARAMBAGH|AZ ENTERPRISES-MT|BALAJI ASSOCIATES DISTRIBUTOR MT|D-MART-OFFLINE|D.L. SALES - MT|DMART|FRANK ROSS|G.V ENTERPRISES|JUST MARK-D-MART|KIRAN TRADING COMPANY-SOLAPUR-D-MART|LULU HYPER|METRO-CNC-RRL|MORE RETAIL|NYKAA E-RETAIL LIMITED|RELIANCE RETAIL|SANCUS NETWORKS-MT-REG.|SRI VIJAYA DURGA AGENCIES|STAR BAZAAR|SUMO SAVE|TRAVEL NEWS SERVICES-WSMITH|V-MART|VENKATESHWARA AGENCIES-TG,225,140.02953539661016
MAMAEARTH,8904417310351,2026-07,8,APOLLO PHARMACY|ARAMBAGH|D.L. SALES - MT|RELIANCE RETAIL|SRI VIJAYA DURGA AGENCIES|SUMO SAVE|TRAVEL NEWS SERVICES-WSMITH|V-MART,181,135.0657934
