Zone	Brand	SubCat	Apr-26	May-26	Jun-26	Q1T
Pan India	Mamaearth	Combo	0	0	0	0
Pan India	Mamaearth	Compact	0	0	0	0
Pan India	Mamaearth	Conditioner	2	2	2	5
Pan India	Mamaearth	Dusting Powder	1	1	1	2
Pan India	Mamaearth	Face Cleanser	93	96	108	296
Pan India	Mamaearth	Face Cream	3	1	2	6
Pan India	Mamaearth	Face Masks	0	0	0	0
Pan India	Mamaearth	Face Scrub	1	1	1	4
Pan India	Mamaearth	Face Serum	1	1	0	2
Pan India	Mamaearth	Face Toner	0	0	0	0
Pan India	Mamaearth	Facial Kit	0	0	0	1
Pan India	Mamaearth	Foundation	1	0	0	1
Pan India	Mamaearth	Hair Mask	0	0	0	0
Pan India	Mamaearth	Hair Oil	5	5	6	16
Pan India	Mamaearth	Hair Serum	0	0	0	1
Pan India	Mamaearth	Henna Paste	0	0	0	0
Pan India	Mamaearth	Hygiene	0	0	0	0
Pan India	Mamaearth	Kajal	0	0	0	0
Pan India	Mamaearth	Kids Face Wash	0	0	0	1
Pan India	Mamaearth	Kids Soap	0	0	0	0
Pan India	Mamaearth	Lip Balm	0	0	0	0
Pan India	Mamaearth	Lipstick	0	0	0	1
Pan India	Mamaearth	Massage Oil				0
Pan India	Mamaearth	Moisturisers	8	7	8	24
Pan India	Mamaearth	Mosquito Protection	0	0	0	0
Pan India	Mamaearth	Oral	2	2	2	5
Pan India	Mamaearth	Shampoo	14	13	16	43
Pan India	Mamaearth	Soap				0
Pan India	Mamaearth	Sun Care	37	29	24	90
Pan India	Mamaearth	Under Eye Care	0	0	0	1
Pan India	The Derma Co.	Cream	1	1	0	2
Pan India	The Derma Co.	Face Cleanser	15	14	16	45
Pan India	The Derma Co.	Face Serum	13	10	9	32
Pan India	The Derma Co.	Lip Balm	0		0	0
Pan India	The Derma Co.	Sun Care	16	12	9	37
Pan India	The Derma Co.	BB Cream				0
Pan India	Aqualogica	Face Cleanser	1	1	1	2
Pan India	Aqualogica	Moisturisers	0	0	0	0
Pan India	Aqualogica	Sun Care	6	4	3	13
Pan India	BBLUNT	Creme Hair Colour				0
Pan India	Dr. Sheth's	Face Cleanser	0	0	0	1
Pan India	Dr. Sheth's	Moisturisers	1	1	0	2
Pan India	Dr. Sheth's	Sun Care	2	2	1	5
SOUTH-1	Mamaearth	Baby Body Wash	9	10	10	29
SOUTH-1	Mamaearth	Baby Soap	17	19	17	52
SOUTH-1	Mamaearth	Body Gel	0	0	0	0
SOUTH-1	Mamaearth	Body Lotion	32	37	31	100
SOUTH-1	Mamaearth	Body Wash	18	20	21	59
SOUTH-1	Mamaearth	Cold Cream	1	1	1	2
SOUTH-1	Mamaearth	Compact	0	0		0
SOUTH-1	Mamaearth	Conditioner	4	6	6	16
SOUTH-1	Mamaearth	Dusting Powder	2	3	4	9
SOUTH-1	Mamaearth	EAU DE PARFUM	0	0	0	0
SOUTH-1	Mamaearth	Face Cleanser	161	190	173	525
SOUTH-1	Mamaearth	Face Cream	2	2	2	5
SOUTH-1	Mamaearth	Face Masks	1	1	1	3
SOUTH-1	Mamaearth	Face Scrub	1	1	1	4
SOUTH-1	Mamaearth	Face Serum	1	1	1	3
SOUTH-1	Mamaearth	Face Toner	0	0	0	0
SOUTH-1	Mamaearth	Facial Kit	1	1	0	1
SOUTH-1	Mamaearth	Hair Mask	1	1	1	2
SOUTH-1	Mamaearth	Hair Oil	8	10	10	27
SOUTH-1	Mamaearth	Hair Serum	1	1	1	3
SOUTH-1	Mamaearth	Henna Paste	0	0	0	1
SOUTH-1	Mamaearth	Hygiene	0	0	0	0
SOUTH-1	Mamaearth	Kajal	0	0	1	2
SOUTH-1	Mamaearth	Kids Soap	1	1	1	2
SOUTH-1	Mamaearth	Lip Balm	2	2	2	6
SOUTH-1	Mamaearth	Lipstick	0	0	0	0
SOUTH-1	Mamaearth	Massage Oil	0	0	0	1
SOUTH-1	Mamaearth	Moisturisers	15	15	15	45
SOUTH-1	Mamaearth	Mosquito Protection	0	0	1	2
SOUTH-1	Mamaearth	Oral	4	5	6	16
SOUTH-1	Mamaearth	OTC	0	0	0	0
SOUTH-1	Mamaearth	Shampoo	138	170	179	487
SOUTH-1	Mamaearth	Soap	19	17	19	56
SOUTH-1	Mamaearth	Sun Care	70	70	53	194
SOUTH-1	Mamaearth	Under Eye Care			0	0
SOUTH-1	The Derma Co.	BB Cream	0	0		0
SOUTH-1	The Derma Co.	Body Lotion	0	0	0	1
SOUTH-1	The Derma Co.	Body Wash	0	0	0	0
SOUTH-1	The Derma Co.	Combo		0	0	0
SOUTH-1	The Derma Co.	Cream	2	2	2	5
SOUTH-1	The Derma Co.	Face Cleanser	85	116	115	316
SOUTH-1	The Derma Co.	Face Masks	1	1	2	4
SOUTH-1	The Derma Co.	Face Serum	28	30	30	89
SOUTH-1	The Derma Co.	Lip Balm	1	1	1	2
SOUTH-1	The Derma Co.	Moisturisers	4	3	4	10
SOUTH-1	The Derma Co.	Shampoo	1	1	1	2
SOUTH-1	The Derma Co.	Soap	0	1	0	2
SOUTH-1	The Derma Co.	Sun Care	115	131	93	339
SOUTH-1	Aqualogica	Body Mist		0	1	1
SOUTH-1	Aqualogica	Face Cleanser	2	2	1	5
SOUTH-1	Aqualogica	Face Serum	0	0	0	0
SOUTH-1	Aqualogica	Moisturisers	1	1	1	3
SOUTH-1	Aqualogica	Sun Care	15	15	13	43
SOUTH-1	BBLUNT	5 Minute Shampoo	0	0	0	1
SOUTH-1	BBLUNT	Conditioner	0	0	0	1
SOUTH-1	BBLUNT	Creme Hair Colour	0	0	0	1
SOUTH-1	BBLUNT	Hair Mask	0	0	0	1
SOUTH-1	BBLUNT	Hair Serum	0	0	0	0
SOUTH-1	BBLUNT	Hair Spray	2	2	2	7
SOUTH-1	BBLUNT	Hair Tonic	0			0
SOUTH-1	BBLUNT	Shampoo	1	1	1	2
SOUTH-1	Dr. Sheth's	Face Cleanser	0	0	0	0
SOUTH-1	Dr. Sheth's	Face Serum	0	0	0	0
SOUTH-1	Dr. Sheth's	Moisturisers	0	0	0	0
SOUTH-1	Dr. Sheth's	Peel	0	0	0	0
SOUTH-1	Dr. Sheth's	Sun Care	0	0	0	0
SOUTH-2	Mamaearth	Baby Body Wash	5	6	5	16
SOUTH-2	Mamaearth	Baby Soap	33	36	35	104
SOUTH-2	Mamaearth	Body Gel	0	0	0	0
SOUTH-2	Mamaearth	Body Lotion	12	12	12	37
SOUTH-2	Mamaearth	Body Wash	7	7	7	21
SOUTH-2	Mamaearth	Cold Cream	1	1	1	2
SOUTH-2	Mamaearth	Conditioner	1	1	1	4
SOUTH-2	Mamaearth	Dusting Powder	3	4	4	12
SOUTH-2	Mamaearth	EAU DE PARFUM	0	0	0	0
SOUTH-2	Mamaearth	Face Cleanser	123	145	159	427
SOUTH-2	Mamaearth	Face Cream	1	1	1	2
SOUTH-2	Mamaearth	Face Masks	1	1	1	2
SOUTH-2	Mamaearth	Face Scrub	1	1	1	3
SOUTH-2	Mamaearth	Face Serum	0	1	1	2
SOUTH-2	Mamaearth	Face Toner	0	0	0	0
SOUTH-2	Mamaearth	Facial Kit	0	0	0	1
SOUTH-2	Mamaearth	Hair Mask	0	0	0	1
SOUTH-2	Mamaearth	Hair Oil	9	11	12	32
SOUTH-2	Mamaearth	Hair Serum	0	0	0	1
SOUTH-2	Mamaearth	Henna Paste	0	0	0	0
SOUTH-2	Mamaearth	Kajal	0	0	0	0
SOUTH-2	Mamaearth	Kids Soap	0	1	0	2
SOUTH-2	Mamaearth	Lip Balm	1	1	1	2
SOUTH-2	Mamaearth	Massage Oil	1	1	1	4
SOUTH-2	Mamaearth	Moisturisers	7	7	9	23
SOUTH-2	Mamaearth	Mosquito Protection	0	0	0	1
SOUTH-2	Mamaearth	Oral	3	3	4	10
SOUTH-2	Mamaearth	OTC	0	0	0	0
SOUTH-2	Mamaearth	Shampoo	112	119	130	361
SOUTH-2	Mamaearth	Soap	14	13	12	39
