Channel	Brand	SubCat	Zone	Apr-25	May-25	Jun-25	Jul-25	Aug-25	Sep-25	Oct-25	Nov-25	Dec-25	Jan-26	Feb-26	Mar-26	Apr-26	May-26	Jun-26
MT	Mamaearth	Face Masks	SOUTH-2	1	1	1	1	0	0	0	0	0	1	0	0	1	1	1
MT	Mamaearth	Face Masks	WEST	3	3	2	2	2	1	2	2	2	1	2	1	2	2	1
MT	Mamaearth	Face Serum	EAST	1	2	1	1	2	1	1	1	2	1	2	1	1	1	1
MT	Mamaearth	Face Serum	NORTH	2	2	2	2	1	2	2	2	2	1	3	2	2	1	1
MT	Mamaearth	Face Serum	SOUTH-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MT	Mamaearth	Face Serum	SOUTH-2	1	1	1	1	1	0	0	0	0	0	1	1	0	1	1
MT	Mamaearth	Face Serum	WEST	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MT	Mamaearth	Cold Cream	NORTH	3	2	2	1	1	1	13	15	13	8	4	3	2	1	1
MT	Mamaearth	Cold Cream	SOUTH-1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
MT	Mamaearth	Cold Cream	SOUTH-2	1	2	2	1	1	1	2	3	2	2	1	1	1	1	1
MT	Mamaearth	Cold Cream	WEST	3	3	2	2	2	2	9	22	18	11	6	4	3	3	2
MT	Mamaearth	Lip Balm	EAST	1	1	1	1	1	1	1	2	3	1	2	1	0	0	0
MT	Mamaearth	Lip Balm	NORTH	1	1	1	1	1	1	1	2	3	3	2	2	1	1	0
MT	Mamaearth	Lip Balm	SOUTH-1	4	3	3	3	3	3	3	4	7	4	3	2	2	2	2
MT	Mamaearth	Lip Balm	SOUTH-2	1	1	1	0	1	1	1	1	2	2	1	1	1	1	1
MT	Mamaearth	Lip Balm	WEST	0	0	0	0	0	0	1	1	2	1	1	1	0	0	0
MT	Mamaearth	Facial Kit	EAST	1	2	1	1	1	1	1	1	1	1	1	0	1	1	1
MT	Mamaearth	Facial Kit	NORTH	6	5	5	4	4	4	5	4	3	4	4	2	2	2	1
MT	Mamaearth	Facial Kit	SOUTH-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
MT	Mamaearth	Facial Kit	SOUTH-2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
MT	Mamaearth	Facial Kit	WEST	6	6	5	4	4	4	5	4	3	3	2	1	1	1	0
MT	Mamaearth	Hair Serum	EAST	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
MT	Mamaearth	Hair Serum	NORTH	1	2	1	2	2	2	1	1	2	1	1	1	1	1	1
MT	Mamaearth	Hair Serum	SOUTH-1	2	2	2	1	2	1	1	1	2	1	2	1	1	1	1
MT	Mamaearth	Hair Serum	SOUTH-2	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0
MT	Mamaearth	Hair Serum	WEST	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
MT	Mamaearth	Mosquito Protection	NORTH	2	1	1	2	2	2	1	1	1	0	2	3	2	1	1
MT	Mamaearth	Mosquito Protection	SOUTH-1	0	0	0	0	1	0	1	2	1	0	0	1	0	0	1
MT	Mamaearth	Mosquito Protection	SOUTH-2	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0
MT	Mamaearth	Mosquito Protection	WEST	0	1	1	1	1	1	1	2	2	1	1	2	1	0	1
MT	Mamaearth	Kids Soap	NORTH	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
MT	Mamaearth	Kids Soap	SOUTH-1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
MT	Mamaearth	Kids Soap	SOUTH-2	0	0	0	1	1	1	1	0	1	1	1	1	0	1	0
MT	Mamaearth	Kids Soap	WEST	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0
MT	Mamaearth	Massage Oil	SOUTH-2	2	2	2	2	2	1	2	2	2	2	2	1	1	1	1
MT	Mamaearth	Kajal	SOUTH-1	0	0	0	0	0	0		0		0	0	0	0	0	1
MT	Mamaearth	Hair Mask	EAST	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MT	Mamaearth	Hair Mask	NORTH	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0
MT	Mamaearth	Hair Mask	SOUTH-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
