Distributor,Chain,Brand,NSV_Cr,Weight_Pct,Territory
G.V Enterprises,Lulu,Mamaearth,0.0003,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0003,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0003,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0001,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0007,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0003,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0001,7.5,TN
G.V Enterprises,Lulu,The Derma Co,0.0006,10.49,TN
G.V Enterprises,Lulu,Mamaearth,0.0009,7.5,TN
G.V Enterprises,Lulu,The Derma Co,0.0003,10.49,TN
G.V Enterprises,Lulu,The Derma Co,0.0018,10.49,TN
G.V Enterprises,Lulu,The Derma Co,0.0002,10.49,TN
G.V Enterprises,Lulu,Mamaearth,0.0009,7.5,TN
G.V Enterprises,Lulu,The Derma Co,0.0012,10.49,TN
G.V Enterprises,Lulu,The Derma Co,0.0002,10.49,TN
G.V Enterprises,Lulu,Aqualogica,0.0003,17.62,TN
G.V Enterprises,Lulu,Mamaearth,0.0001,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0006,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0002,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0001,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0006,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0002,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0002,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0003,7.5,TN
G.V Enterprises,Lulu,The Derma Co,0.0001,10.49,TN
G.V Enterprises,Lulu,Mamaearth,0.0001,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.002,7.5,TN
G.V Enterprises,Lulu,The Derma Co,0.0002,10.49,TN
G.V Enterprises,Lulu,Mamaearth,0.0012,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0008,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0014,7.5,TN
G.V Enterprises,Lulu,Aqualogica,0.0003,17.62,TN
G.V Enterprises,Lulu,The Derma Co,0.0001,10.49,TN
G.V Enterprises,Lulu,Mamaearth,0.0001,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0001,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0011,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0001,7.5,TN
G.V Enterprises,Lulu,The Derma Co,0.004,10.49,TN
G.V Enterprises,Lulu,Mamaearth,0.0051,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0003,7.5,TN
G.V Enterprises,Lulu,The Derma Co,0.0002,10.49,TN
G.V Enterprises,Lulu,Mamaearth,0.0004,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0004,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0001,7.5,TN
G.V Enterprises,Lulu,The Derma Co,0.0013,10.49,TN
G.V Enterprises,Lulu,The Derma Co,0.0005,10.49,TN
G.V Enterprises,Lulu,Mamaearth,0.0003,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0005,7.5,TN
G.V Enterprises,Lulu,The Derma Co,0.0005,10.49,TN
G.V Enterprises,Lulu,Mamaearth,0.0002,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0006,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0003,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0014,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0022,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0006,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0001,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0007,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0015,7.5,TN
G.V Enterprises,Lulu,The Derma Co,0.0002,10.49,TN
G.V Enterprises,Lulu,Mamaearth,0.0019,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0001,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0005,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0012,7.5,TN
G.V Enterprises,Lulu,The Derma Co,0.0106,10.49,TN
G.V Enterprises,Lulu,The Derma Co,0.0003,10.49,TN
G.V Enterprises,Lulu,Mamaearth,0.0001,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0005,7.5,TN
G.V Enterprises,Lulu,The Derma Co,0.0003,10.49,TN
G.V Enterprises,Lulu,Mamaearth,0.0002,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0003,7.5,TN
G.V Enterprises,Lulu,The Derma Co,0.0001,10.49,TN
G.V Enterprises,Lulu,Mamaearth,0.0013,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0025,7.5,TN
G.V Enterprises,Lulu,The Derma Co,0.0003,10.49,TN
G.V Enterprises,Lulu,Mamaearth,0.0027,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0006,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0002,7.5,TN
G.V Enterprises,Lulu,Aqualogica,0.0003,17.62,TN
G.V Enterprises,Lulu,Mamaearth,0.0034,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0001,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0007,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0004,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0001,7.5,TN
