Chain,Brand,Article_Code,Assortment_Type
APNA KLUB,MAMAEARTH,'8904417311570,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417311587,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417311655,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417311662,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417312133,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417312171,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417312294,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417312379,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417312386,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417312430,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417312546,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417312867,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417312997,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417313178,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417313420,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417313673,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417313765,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417313963,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417314267,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417314298,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417314441,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417315035,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417315042,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417315073,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417315127,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417315622,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417315660,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417315677,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417315738,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417316056,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417316346,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417316407,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417316896,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417317053,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417317183,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417317244,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417317268,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417317275,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417317589,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417317596,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417317701,Brand_Pareto_Assortment_Fallback
