Bill to customer,Direct/Distributor,NSV,MRP value,Month,FY,Zone,State,Brand,Chain Name,Channel
Apollo Healthco Limited_Rajasthan,Direct,0.0612937,0.10056,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0215864,0.0398,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0751037,0.23952,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.050658299999999996,0.14376,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0182491,0.02994,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0278237,0.0513,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0766251,0.21528,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0218697,0.03588,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0510834,0.14352,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0091063,0.01494,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.04553140000000001,0.0747,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0510834,0.14352,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0255417,0.07176,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.032412199999999995,0.05976,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.053914300000000005,0.153,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
