col0,Unique,Zone,State,City,SO/ASE Emp Code,SO/ASE Name,Chain Name,Store Type,DC Code,DC Name,Internal Code,Site Code,Site Name,Article,Article_1,EAN,Chain Article Description,Net Weight,Description as per Fountain,Brand,Category,Sub_category,Range,MRP,Sales Qty,MRP Sales Value,NSV,Per pc,With Tax,L,Revised Month,Month,Year,PPT Category,MRP 2,M-Value,MRP In Lac
,Trends TCR0,North,Uttar Pradesh,Lucknow,,,Trends ,Non BA Counter,,,,TCR0,"Bhoothnath, Faizabad Road",,,8906087772040.0,10% Niacinamide Serum 30ml,30.0,10% Niacinamide Serum 30ml,The Derma Co.,Face,Face Serum,Niacinamide,599.0,1.0,599.0,0.0035533898305084746,599.0,,0.3,46023.0,Jan ,2026.0,Face Serum,599.0,599.0,0.00599
,Trends TCR0,North,Uttar Pradesh,Lucknow,,,Trends ,Non BA Counter,,,,TCR0,"Bhoothnath, Faizabad Road",,,8906087779032.0,Rice Face Wash 100 ml,100.0,Rice Face Wash 100 ml,Mamaearth,Face,Face Cleanser,Rice,285.0,1.0,285.0,0.0017631355932203388,285.0,,0.27,46023.0,Jan ,2026.0,Face Cleanser,285.0,285.0,0.00285
,Trends TE93,South-2,Telangana,Hyderabad,,,Trends ,Non BA Counter,,,,TE93,Sarath City Capital Mall ,,,8906087779032.0,Rice Face Wash 100 ml,100.0,Rice Face Wash 100 ml,Mamaearth,Face,Face Cleanser,Rice,285.0,1.0,285.0,0.0017631355932203388,285.0,,0.27,46023.0,Jan ,2026.0,Face Cleanser,285.0,285.0,0.00285
,Trends TG91,South-2,Telangana,Hyderabad,,,Trends ,Non BA Counter,,,,TG91,A S Rao Nagar,,,8904417308587.0,Detan+ Dewy Sunscreen 80g,80.0,AQ Detan+ Dewy Sunscreen Gel SPF 50+ PA+++++ 80g,Aqualogica,Face,Sun Care,Detan+,599.0,2.0,1198.0,0.007106779661016949,599.0,,0.3,46023.0,Jan ,2026.0,Aqualogica,599.0,1198.0,0.01198
,Trends TIQ9,South-2,Telangana,Hyderabad,,,Trends ,Non BA Counter,,,,TIQ9,"MPM Grand, Ameerpet",,,8904417307139.0,2% Kojic Acid Face Serum 10 ml,10.0,2% Kojic Acid Face Serum 10 ml,The Derma Co.,Face,Face Serum,Kojic Acid,249.0,1.0,249.0,0.0014771186440677966,249.0,,0.3,46023.0,Jan ,2026.0,Face Serum,249.0,249.0,0.00249
,Trends TIQ9,South-2,Telangana,Hyderabad,,,Trends ,Non BA Counter,,,,TIQ9,"MPM Grand, Ameerpet",,,8906087771982.0,Bye Bye Dark Circles Eye Cream with Cucumber & Peptides for Dark Circles Ã¯Â¿Â½ 20ml,20.0,Bye Bye Dark Circles Eye Cream with Cucumber & Peptides for Dark Circles Ã¯Â¿Â½ 20ml,Mamaearth,Face,Under Eye Care,Solution Oriented,399.0,1.0,399.0,0.0024683898305084746,399.0,,0.27,46023.0,Jan ,2026.0,Others Face,399.0,399.0,0.00399
,Trends TK56,North,Uttar Pradesh,Lucknow,,,Trends ,Non BA Counter,,,,TK56,Ring Road -Near Engg College,,,8906087779032.0,Rice Face Wash 100 ml,100.0,Rice Face Wash 100 ml,Mamaearth,Face,Face Cleanser,Rice,285.0,1.0,285.0,0.0017631355932203388,285.0,,0.27,46023.0,Jan ,2026.0,Face Cleanser,285.0,285.0,0.00285
,Trends TSO6,West,Gujrat,SURAT,,,Trends ,Non BA Counter,,,,TSO6,Surat VIP road,,,8906087779339.0,Rice Night Cream 50 g,50.0,Rice Night Cream 50 g,Mamaearth,Face,Face Cream,Rice,599.0,1.0,599.0,0.0037056779661016953,599.0,,0.27,46023.0,Jan ,2026.0,Others Face,599.0,599.0,0.00599
,Trends TSS2,North,Delhi,Delhi ,,,Trends ,Non BA Counter,,,,TSS2,Trends Ambience Mall Vasanthkunj,,,8904417314267.0,Rice Water Dewy Active Serum 50 ml,50.0,Rice Water Dewy Active Serum 50 ml,Mamaearth,Face,Face Serum,Rice,499.0,1.0,499.0,0.0030870338983050847,499.0,,0.27,46023.0,Jan ,2026.0,Others Face,499.0,499.0,0.00499
,Trends TSS2,North,Delhi,Delhi ,,,Trends ,Non BA Counter,,,,TSS2,Trends Ambience Mall Vasanthkunj,,,8906087775058.0,The Derma Co 10% Niacinamide Serum 10 ml,10.0,The Derma Co 10% Niacinamide Serum 10 ml,The Derma Co.,Face,Face Serum,Niacinamide,249.0,1.0,249.0,0.0014771186440677966,249.0,,0.3,46023.0,Jan ,2026.0,Face Serum,249.0,249.0,0.00249
,Trends TX1B,South-1,Karnataka,Bangalore,,,Trends ,Non BA Counter,,,,TX1B,Trends Sarjapur Main Road-Carmelaram Post,,,8906087773849.0,2% SALICYLIC ACID SERUM 30 ml,30.0,2% SALICYLIC ACID SERUM 30 ml,The Derma Co.,Face,Face Serum,Salicylic Acid,499.0,1.0,499.0,0.0029601694915254236,499.0,,0.3,46023.0,Jan ,2026.0,Face Serum,499.0,499.0,0.00499
