col0,Unique,Zone,State,City,SO/ASE Emp Code,SO/ASE Name,Chain Name,Store Type,DC Code,DC Name,Internal Code,Site Code,Site Name,Article,Article_1,EAN,Chain Article Description,Net Weight,Description as per Fountain,Brand,Category,Sub_category,Range,MRP,Sales Qty,MRP Sales Value,NSV,Per pc,With Tax,L,Revised Month,Month,Year,PPT Category,MRP 2,M-Value,MRP In Lac
,Trends TIQ9,South 2,Telangana,Hyderabad,,,Trends ,Non Brand Counter,,,,TIQ9,TIQ9 - MPM Grand,493725535,493725535,8904417306163.0,THE DERMA CO CCINAM NIACINAMIDE PA 50GM,50.0,C-Cinamide R Sunscreen AquaGel 50g,The Derma Co.,Face,Sun Care,C-Cinamide,499.0,1.0,499.0,0.0030870338983050847,,,0.27,46143.0,May,2026.0,,499.0,499.0,499.0
,Trends TK56,NORTH,Uttar Pradesh,Lucknow,,,Trends ,Non Brand Counter,,,,TK56,TK56 - Luknow Ring Road,494491686,494491686,8904417317244.0,MAMAEARTH RICE WTR HYDTNG BDYL 400ML BTL,400.0,Rice Water Hydrating Body Lotion 400 ml,Mamaearth,Body,Body Lotion,Rice Water,549.0,1.0,549.0,0.003256779661016949,,,0.3,46143.0,May,2026.0,,549.0,549.0,549.0
,Trends TK56,NORTH,Uttar Pradesh,Lucknow,,,Trends ,Non Brand Counter,,,,TK56,TK56 - Luknow Ring Road,494412358,494412358,8904417310030.0,Mamaearth BeetrtTintd Natural LipBalm 2g,2.0,ME Beetroot Tinted 100%Natural LipBalm2g,Mamaearth,Face,Lip Balm,Beetroot,299.0,1.0,299.0,0.0017737288135593221,,,0.3,46143.0,May,2026.0,,299.0,299.0,299.0
,Trends TSO6,WEST,Gujarat,Surat,,,Trends ,Non Brand Counter,,,,TSO6,TSO6 - RRL Trends Surat VIP,493682168,493682168,8906087778547.0,THE DERMA CO 2 CICAGLOW FACE WASH 100ml,100.0,The Derma Co. 2% Cica-Glow Daily Face Wash 100ml,The Derma Co.,Face,Face Cleanser,Cica,349.0,2.0,698.0,0.004318135593220339,,,0.27,46143.0,May,2026.0,,349.0,698.0,1396.0
,Trends TSS2,NORTH,Delhi,Delhi NCR,,,Trends ,Non Brand Counter,,,,TSS2,TSS2 - RRL Trends Ambience,494497513,494497513,8904417316483.0,Aqulgca RfrshOntheS3 PrfumBodyMist3x20ml,60.0,Refresh+ perfume Body Mist On The Go Set of 3,Aqualogica,Fragrance,Body Mist,Refresh+,599.0,1.0,599.0,0.0037056779661016953,,,0.27,46143.0,May,2026.0,,599.0,599.0,599.0
,Trends TSS2,NORTH,Delhi,Delhi NCR,,,Trends ,Non Brand Counter,,,,TSS2,TSS2 - RRL Trends Ambience,493682171,493682171,8906087772064.0,THE DERMA CO 2 PERCEOJIC ACID CREAM 30gm,30.0,2% Kojic Acid Cream 30gm,The Derma Co.,Face,Cream,Kojic Acid,499.0,1.0,499.0,0.0030870338983050847,,,0.27,46143.0,May,2026.0,,499.0,499.0,499.0
,Trends TSS2,NORTH,Delhi,Delhi NCR,,,Trends ,Non Brand Counter,,,,TSS2,TSS2 - RRL Trends Ambience,494261518,494261518,8904417307139.0,The Derma Co. 2 Koji Pigmentation 10ml,10.0,2% Kojic Acid Face Serum 10 ml,The Derma Co.,Face,Face Serum,Kojic Acid,299.0,1.0,299.0,0.0018497457627118644,,,0.27,46143.0,May,2026.0,,299.0,299.0,299.0
,Trends TSS2,NORTH,Delhi,Delhi NCR,,,Trends ,Non Brand Counter,,,,TSS2,TSS2 - RRL Trends Ambience,494261552,494261552,8904417308501.0,The Derma Co. 1 Kojightens Dark Lips 4g,4.5,TDC 1% Kojic Acid Lip Balm,The Derma Co.,Face,Lip Balm,Kojic Acid,329.0,1.0,329.0,0.002035338983050847,,,0.27,46143.0,May,2026.0,,329.0,329.0,329.0
,Trends TX1B,South 1,Karnataka,Bangalore,,,Trends ,Non Brand Counter,,,,TX1B,TX1B - RRL TRENDS Sarjapur,494431967,494431967,8904417313253.0,AqualogicaRperfumBodymistSwtsumrkis150ml,150.0,Refresh+ Perfume Body Mist- Sweet summer kiss 150ml,Aqualogica,Fragrance,Body Mist,Refresh+,499.0,1.0,499.0,0.0030870338983050847,,,0.27,46143.0,May,2026.0,,499.0,499.0,499.0
,Trends TX18,WEST,Maharashtra,Pune,,,Trends ,Non Brand Counter,,,,TX18,TX18 - Pune RIL Mall Elpro,494491686,494491686,8904417317244.0,MAMAEARTH RICE WTR HYDTNG BDYL 400ML BTL,400.0,Rice Water Hydrating Body Lotion 400 ml,Mamaearth,Body,Body Lotion,Rice Water,549.0,2.0,1098.0,0.006513559322033898,,,0.3,46143.0,May,2026.0,,549.0,1098.0,2196.0
