Bill to customer,Direct/Distributor,NSV,MRP value,Month,FY,Zone,State,Brand,Chain Name,Channel
Avenue E Commerce Ltd_4047-Vasai Waliv,Direct,3879.14,8976.0,May'25,FY_25-26,West,Mumbai,The Derma Co.,D-Mart,MT
Avenue E Commerce Ltd_CadburyFC.,Direct,17335.14,34092.0,May'25,FY_25-26,West,Mumbai,Aqualogica,D-Mart,MT
Avenue E Commerce Ltd_CadburyFC.,Direct,22529.32,47904.0,May'25,FY_25-26,West,Mumbai,The Derma Co.,D-Mart,MT
Avenue E Commerce Ltd_Goregaon,Direct,7297.67,14352.0,May'25,FY_25-26,West,Mumbai,Aqualogica,D-Mart,MT
Avenue E Commerce Ltd_Goregaon,Direct,22148.17,44904.0,May'25,FY_25-26,West,Mumbai,The Derma Co.,D-Mart,MT
Avenue E Commerce Ltd_Hoodi FC,Direct,2739.71,5388.0,May'25,FY_25-26,South-1,Karnataka,Aqualogica,D-Mart,MT
Avenue E Commerce Ltd_Hoodi FC,Direct,17666.25,38340.0,May'25,FY_25-26,South-1,Karnataka,The Derma Co.,D-Mart,MT
Avenue E Commerce Ltd_Manpada,Direct,13075.86,25716.0,May'25,FY_25-26,West,Mumbai,Aqualogica,D-Mart,MT
Avenue E Commerce Ltd_Manpada,Direct,31655.44,62256.0,May'25,FY_25-26,West,Mumbai,The Derma Co.,D-Mart,MT
Avenue E Commerce Ltd_Wagholi,Direct,-6998.82,-13764.0,May'25,FY_25-26,West,Pune,Aqualogica,D-Mart,MT
Avenue E Commerce Ltd_Wagholi,Direct,-9738.54,-19152.0,May'25,FY_25-26,West,Pune,The Derma Co.,D-Mart,MT
Avenue E Commerce Ltd-ABE0-Kurla FC-2,Direct,4258.76,8376.0,May'25,FY_25-26,West,Mumbai,Aqualogica,D-Mart,MT
Avenue E Commerce Ltd-ABE0-Kurla FC-2,Direct,3654.74,7188.0,May'25,FY_25-26,West,Mumbai,The Derma Co.,D-Mart,MT
Avenue Supermarts Ltd.-DC-1032,Direct,8735818.68,22691901.0,May'25,FY_25-26,South-1,Karnataka,Mamaearth,D-Mart,MT
Avenue Supermarts Ltd.-DC-1032,Direct,199840.7,393020.0,May'25,FY_25-26,South-1,Karnataka,The Derma Co.,D-Mart,MT
Avenue Supermarts Ltd.-DC-1039,Direct,9318189.12,23748696.0,May'25,FY_25-26,West,Mumbai,Mamaearth,D-Mart,MT
Avenue Supermarts Ltd.-DC-1039,Direct,907139.14,1784040.0,May'25,FY_25-26,West,Mumbai,The Derma Co.,D-Mart,MT
Avenue Supermarts Ltd.-DC-1049,Direct,7523149.02,20086968.0,May'25,FY_25-26,Central,Madhya Pradesh,Mamaearth,D-Mart,MT
Avenue Supermarts Ltd.-DC-1049,Direct,653410.17,1285040.0,May'25,FY_25-26,Central,Madhya Pradesh,The Derma Co.,D-Mart,MT
Avenue Supermarts Ltd.-DC-1050,Direct,2721699.86,7161285.0,May'25,FY_25-26,North,Punjab,Mamaearth,D-Mart,MT
Avenue Supermarts Ltd.-DC-1050,Direct,635257.59,1249340.0,May'25,FY_25-26,North,Punjab,The Derma Co.,D-Mart,MT
Avenue Supermarts Ltd.-DC-1068,Direct,5279909.27,13757505.0,May'25,FY_25-26,North,Rajasthan,Mamaearth,D-Mart,MT
Avenue Supermarts Ltd.-DC-1068,Direct,326705.08,642520.0,May'25,FY_25-26,North,Rajasthan,The Derma Co.,D-Mart,MT
Avenue Supermarts Ltd.-DC-1091,Direct,3281520.32,8780436.0,May'25,FY_25-26,North,Haryana,Mamaearth,D-Mart,MT
Avenue Supermarts Ltd.-DC-1091,Direct,326704.94,642520.0,May'25,FY_25-26,North,Haryana,The Derma Co.,D-Mart,MT
Guardian Healthcare Services Pvt Ltd(DL),Direct,112881.22,222000.0,May'25,FY_25-26,North,Delhi,Mamaearth,Guardian,MT
Guardian Healthcare Services Pvt Ltd(DL),Direct,46625.54,91697.0,May'25,FY_25-26,North,Delhi,The Derma Co.,Guardian,MT
Metro Cash & Carry India Pvt Ltd -(DC27)-T0SJ,Direct,43890.38,88302.0,May'25,FY_25-26,South-1,Karnataka,Mamaearth,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd -(DC27)-T0SJ,Direct,3428.36,5394.0,May'25,FY_25-26,South-1,Karnataka,The Derma Co.,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC10)-T0SM,Direct,9518.64,14976.0,May'25,FY_25-26,South-1,Karnataka,BBlunt,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC10)-T0SM,Direct,118091.6,245860.0,May'25,FY_25-26,South-1,Karnataka,Mamaearth,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC10)-T0SM,Direct,116483.94,183268.0,May'25,FY_25-26,South-1,Karnataka,The Derma Co.,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC11)-T0SL,Direct,35008.58,55080.0,May'25,FY_25-26,South-1,Karnataka,Aqualogica,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC11)-T0SL,Direct,12950.88,20376.0,May'25,FY_25-26,South-1,Karnataka,BBlunt,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC11)-T0SL,Direct,124466.64,285423.0,May'25,FY_25-26,South-1,Karnataka,Mamaearth,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC11)-T0SL,Direct,98471.46,154928.0,May'25,FY_25-26,South-1,Karnataka,The Derma Co.,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC12)-T0QX,Direct,20547.44,32328.0,May'25,FY_25-26,South-2,Telangana,Aqualogica,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC12)-T0QX,Direct,193073.77,449634.0,May'25,FY_25-26,South-2,Telangana,Mamaearth,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC12)-T0QX,Direct,18264.39,28736.0,May'25,FY_25-26,South-2,Telangana,The Derma Co.,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC15)-T0QY,Direct,51743.2,105657.0,May'25,FY_25-26,South-2,Telangana,Mamaearth,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC16)-T0QZ,Direct,7332.2,37913.0,May'25,FY_25-26,South-2,Telangana,Mamaearth,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC17)-T0QT,Direct,22227.2,40350.0,May'25,FY_25-26,South-2,Andhra Pradesh,Mamaearth,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC18)-T0SN,Direct,46192.44,96249.0,May'25,FY_25-26,South-1,Karnataka,Mamaearth,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC18)-T0SN,Direct,57068.48,89788.0,May'25,FY_25-26,South-1,Karnataka,The Derma Co.,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC20)-T0RK,Direct,30346.58,68941.0,May'25,FY_25-26,West,Mumbai,Mamaearth,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC23)-T0RL,Direct,10296.6,16200.0,May'25,FY_25-26,West,Mumbai,BBlunt,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC23)-T0RL,Direct,13034.75,45348.0,May'25,FY_25-26,West,Mumbai,Mamaearth,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC23)-T0RL,Direct,3549.15,5584.0,May'25,FY_25-26,West,Mumbai,The Derma Co.,Metro CNC,MT
