Chain Name,Ship-To Name,Bill-To / Account (inferred),Direct/Distributor,Brand,Month Logic,Months Covered,Month Range,Avg Cont%,Min Cont%,Max Cont%,Mapping Confidence,Remarks,Pri: Low Confidence,Pri: Medium Confidence,Pri: Multi-Chain Distributor,Pri: Negative NSV/Cont,Pri: Name Variant (Merge Candidate),Validation Status,Validated Chain,Validated Account / Bill-To,Mapping Action,Validation Remarks,Validated By,Validated Date
Apollo,Apollo Healthco Limited-Assam,Apollo Healthco Limited-Assam,Direct,Mamaearth,Monthly dynamic Cont% (secondary-driven),3,Mar'26–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1),,,,,,Validated (Cross-Ref),Apollo Healthco,Apollo Healthco,Keep,exact match on Ship-To Name against Confirmed row in CustomerCode_Zone_State_Mapping.csv (Customer Code 1104729),mtagent pbi audit (cross-ref CustomerCode_Zone_State_Mapping.csv),2026-07-14
Apollo,Apollo Healthco Limited-Assam,Apollo Healthco Limited-Assam,Direct,The Derma Co.,Monthly dynamic Cont% (secondary-driven),2,Mar'26–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1),,,,,,Validated (Cross-Ref),Apollo Healthco,Apollo Healthco,Keep,exact match on Ship-To Name against Confirmed row in CustomerCode_Zone_State_Mapping.csv (Customer Code 1104729),mtagent pbi audit (cross-ref CustomerCode_Zone_State_Mapping.csv),2026-07-14
Apollo,Apollo Healthco Limited-Bangalore,Apollo Healthco Limited-Bangalore,Direct,Mamaearth,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1),,,,,,Validated (Cross-Ref),Apollo Healthco,Apollo Healthco,Keep,exact match on Ship-To Name against Confirmed row in CustomerCode_Zone_State_Mapping.csv (Customer Code 1102411),mtagent pbi audit (cross-ref CustomerCode_Zone_State_Mapping.csv),2026-07-14
Apollo,Apollo Healthco Limited-Bangalore,Apollo Healthco Limited-Bangalore,Direct,The Derma Co.,Monthly dynamic Cont% (secondary-driven),9,Sep'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1),,,,,,Validated (Cross-Ref),Apollo Healthco,Apollo Healthco,Keep,exact match on Ship-To Name against Confirmed row in CustomerCode_Zone_State_Mapping.csv (Customer Code 1102411),mtagent pbi audit (cross-ref CustomerCode_Zone_State_Mapping.csv),2026-07-14
Apollo,Apollo Healthco Limited-Chennai,Apollo Healthco Limited-Chennai,Direct,Aqualogica,Monthly dynamic Cont% (secondary-driven),1,Feb'26–Feb'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1),,,,,,Validated (Cross-Ref),Apollo Healthco,Apollo Healthco,Keep,exact match on Ship-To Name against Confirmed row in CustomerCode_Zone_State_Mapping.csv (Customer Code 1102413),mtagent pbi audit (cross-ref CustomerCode_Zone_State_Mapping.csv),2026-07-14
Apollo,Apollo Healthco Limited-Chennai,Apollo Healthco Limited-Chennai,Direct,Mamaearth,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1),,,,,,Validated (Cross-Ref),Apollo Healthco,Apollo Healthco,Keep,exact match on Ship-To Name against Confirmed row in CustomerCode_Zone_State_Mapping.csv (Customer Code 1102413),mtagent pbi audit (cross-ref CustomerCode_Zone_State_Mapping.csv),2026-07-14
Apollo,Apollo Healthco Limited-Chennai,Apollo Healthco Limited-Chennai,Direct,The Derma Co.,Monthly dynamic Cont% (secondary-driven),8,Oct'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1),,,,,,Validated (Cross-Ref),Apollo Healthco,Apollo Healthco,Keep,exact match on Ship-To Name against Confirmed row in CustomerCode_Zone_State_Mapping.csv (Customer Code 1102413),mtagent pbi audit (cross-ref CustomerCode_Zone_State_Mapping.csv),2026-07-14
Apollo,Apollo Healthco Limited-Goa,Apollo Healthco Limited-Goa,Direct,Aqualogica,Monthly dynamic Cont% (secondary-driven),1,May'25–May'25,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1),,,,,,Validated (Cross-Ref),Apollo Healthco,Apollo Healthco,Keep,exact match on Ship-To Name against Confirmed row in CustomerCode_Zone_State_Mapping.csv (Customer Code 1102417),mtagent pbi audit (cross-ref CustomerCode_Zone_State_Mapping.csv),2026-07-14
Apollo,Apollo Healthco Limited-Goa,Apollo Healthco Limited-Goa,Direct,Mamaearth,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1),,,,,,Validated (Cross-Ref),Apollo Healthco,Apollo Healthco,Keep,exact match on Ship-To Name against Confirmed row in CustomerCode_Zone_State_Mapping.csv (Customer Code 1102417),mtagent pbi audit (cross-ref CustomerCode_Zone_State_Mapping.csv),2026-07-14
Apollo,Apollo Healthco Limited-Goa,Apollo Healthco Limited-Goa,Direct,The Derma Co.,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1),,,,,,Validated (Cross-Ref),Apollo Healthco,Apollo Healthco,Keep,exact match on Ship-To Name against Confirmed row in CustomerCode_Zone_State_Mapping.csv (Customer Code 1102417),mtagent pbi audit (cross-ref CustomerCode_Zone_State_Mapping.csv),2026-07-14
