Ship To Name,Direct/Distributor,Chain Name,State,Zone,NSV,MRP value,Brand,Revised month,Month,FY,Channel,Unique,Calulation for unique,Cont%
Apollo Healthco Limited-Goa,Direct,Apollo Healthco,Goa,West,0.2,0.6,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Apollo Healthco Limited-Goa45444WestGoaMamaearthFY_24-25MTDirectJune'240.2,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Apollo Healthco Limited-Hubbli,Direct,Apollo Healthco,Karnataka,South-1,1.2,3.9,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Apollo Healthco Limited-Hubbli45444South-1KarnatakaMamaearthFY_24-25MTDirectJune'241.2,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Apollo Healthco Limited-Ore,Direct,Apollo Healthco,Orissa,East,0.4,0.8,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Apollo Healthco Limited-Ore45444EastOrissaMamaearthFY_24-25MTDirectJune'240.4,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Apollo Healthco Limited-Sanath Nagar,Direct,Apollo Healthco,Telangana,South-2,0.3,1.1,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Apollo Healthco Limited-Sanath Nagar45444South-2TelanganaMamaearthFY_24-25MTDirectJune'240.3,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
APOLLO HEALTHCO LIMITED-WB,Direct,Apollo Healthco,West Bengal,East,0.0,0.0,Mamaearth,2024-06-01,June'24,FY_24-25,MT,APOLLO HEALTHCO LIMITED-WB45444EastWest BengalMamaearthFY_24-25MTDirectJune'240.0,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
APOLLO HEALTHCO LIMITED-WB-2,Direct,Apollo Healthco,West Bengal,East,1.5,4.8,Mamaearth,2024-06-01,June'24,FY_24-25,MT,APOLLO HEALTHCO LIMITED-WB-245444EastWest BengalMamaearthFY_24-25MTDirectJune'241.5,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Apollo Healthco Ltd_Raipur,Direct,Apollo Healthco,Chattishgarh,West,0.3,1.0,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Apollo Healthco Ltd_Raipur45444WestChattishgarhMamaearthFY_24-25MTDirectJune'240.3,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Limited(Belapur),Direct,D-Mart,Mumbai,West,0.1,0.1,Aqualogica,2024-06-01,June'24,FY_24-25,MT,Avenue E Commerce Limited(Belapur)45444WestMumbaiAqualogicaFY_24-25MTDirectJune'240.1,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Limited(Kanjur),Direct,D-Mart,Mumbai,West,0.1,0.1,Aqualogica,2024-06-01,June'24,FY_24-25,MT,Avenue E Commerce Limited(Kanjur)45444WestMumbaiAqualogicaFY_24-25MTDirectJune'240.1,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Limited(Mira Road) N2,Direct,D-Mart,Pune,West,0.0,0.0,Aqualogica,2024-06-01,June'24,FY_24-25,MT,Avenue E Commerce Limited(Mira Road) N245444WestPuneAqualogicaFY_24-25MTDirectJune'240.0,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Limited(Nahur),Direct,D-Mart,Mumbai,West,0.1,0.3,Aqualogica,2024-06-01,June'24,FY_24-25,MT,Avenue E Commerce Limited(Nahur)45444WestMumbaiAqualogicaFY_24-25MTDirectJune'240.1,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Limited(Nahur),Direct,D-Mart,Mumbai,West,0.1,0.1,The Derma Co,2024-06-01,June'24,FY_24-25,MT,Avenue E Commerce Limited(Nahur)45444WestMumbaiThe Derma CoFY_24-25MTDirectJune'240.1,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Limited_Panvel-2,Direct,D-Mart,Pune,West,0.1,0.2,Aqualogica,2024-06-01,June'24,FY_24-25,MT,Avenue E Commerce Limited_Panvel-245444WestPuneAqualogicaFY_24-25MTDirectJune'240.1,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Ltd_CadburyFC.,Direct,D-Mart,Mumbai,West,0.0,0.1,Aqualogica,2024-06-01,June'24,FY_24-25,MT,Avenue E Commerce Ltd_CadburyFC.45444WestMumbaiAqualogicaFY_24-25MTDirectJune'240.0,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Ltd_CadburyFC.,Direct,D-Mart,Mumbai,West,0.0,0.1,The Derma Co,2024-06-01,June'24,FY_24-25,MT,Avenue E Commerce Ltd_CadburyFC.45444WestMumbaiThe Derma CoFY_24-25MTDirectJune'240.0,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Ltd_Goregaon,Direct,D-Mart,Mumbai,West,0.1,0.1,Aqualogica,2024-06-01,June'24,FY_24-25,MT,Avenue E Commerce Ltd_Goregaon45444WestMumbaiAqualogicaFY_24-25MTDirectJune'240.1,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Ltd_Goregaon,Direct,D-Mart,Mumbai,West,0.0,0.0,The Derma Co,2024-06-01,June'24,FY_24-25,MT,Avenue E Commerce Ltd_Goregaon45444WestMumbaiThe Derma CoFY_24-25MTDirectJune'240.0,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Ltd_Manpada,Direct,D-Mart,Mumbai,West,0.1,0.1,Aqualogica,2024-06-01,June'24,FY_24-25,MT,Avenue E Commerce Ltd_Manpada45444WestMumbaiAqualogicaFY_24-25MTDirectJune'240.1,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue Supermarts Ltd.-4905,Direct,D-Mart,Chattishgarh,West,1.3,3.3,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Avenue Supermarts Ltd.-490545444WestChattishgarhMamaearthFY_24-25MTDirectJune'241.3,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue Supermarts Ltd.-DC-1014,Direct,D-Mart,Pune,West,-0.1,-0.4,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Avenue Supermarts Ltd.-DC-101445444WestPuneMamaearthFY_24-25MTDirectJune'24-0.1,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue Supermarts Ltd.-DC-1031,Direct,D-Mart,Gujarat,West,-0.6,-1.6,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Avenue Supermarts Ltd.-DC-103145444WestGujaratMamaearthFY_24-25MTDirectJune'24-0.6,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue Supermarts Ltd.-DC-1032,Direct,D-Mart,Karnataka,South-1,81.0,206.2,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Avenue Supermarts Ltd.-DC-103245444South-1KarnatakaMamaearthFY_24-25MTDirectJune'2481.0,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue Supermarts Ltd.-DC-1034,Direct,D-Mart,Gujarat,West,-1.7,-4.1,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Avenue Supermarts Ltd.-DC-103445444WestGujaratMamaearthFY_24-25MTDirectJune'24-1.7,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue Supermarts Ltd.-DC-1039,Direct,D-Mart,Mumbai,West,0.3,0.5,BBlunt,2024-06-01,June'24,FY_24-25,MT,Avenue Supermarts Ltd.-DC-103945444WestMumbaiBBluntFY_24-25MTDirectJune'240.3,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue Supermarts Ltd.-DC-1039,Direct,D-Mart,Mumbai,West,89.6,231.0,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Avenue Supermarts Ltd.-DC-103945444WestMumbaiMamaearthFY_24-25MTDirectJune'2489.6,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue Supermarts Ltd.-DC-1049,Direct,D-Mart,Madhya Pradesh,North,37.8,97.7,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Avenue Supermarts Ltd.-DC-104945444NorthMadhya PradeshMamaearthFY_24-25MTDirectJune'2437.8,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue Supermarts Ltd.-DC-1050,Direct,D-Mart,Punjab,North,31.2,81.2,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Avenue Supermarts Ltd.-DC-105045444NorthPunjabMamaearthFY_24-25MTDirectJune'2431.2,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue Supermarts Ltd.-DC-1054,Direct,D-Mart,Telangana,South-2,-3.2,-8.1,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Avenue Supermarts Ltd.-DC-105445444South-2TelanganaMamaearthFY_24-25MTDirectJune'24-3.2,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue Supermarts Ltd.-DC-1055,Direct,D-Mart,Pune,West,-0.8,-1.9,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Avenue Supermarts Ltd.-DC-105545444WestPuneMamaearthFY_24-25MTDirectJune'24-0.8,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue Supermarts Ltd.-DC-1056,Direct,D-Mart,Gujarat,West,-1.9,-4.9,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Avenue Supermarts Ltd.-DC-105645444WestGujaratMamaearthFY_24-25MTDirectJune'24-1.9,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue Supermarts Ltd.-DC-1068,Direct,D-Mart,Rajasthan,North,38.1,97.7,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Avenue Supermarts Ltd.-DC-106845444NorthRajasthanMamaearthFY_24-25MTDirectJune'2438.1,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue Supermarts Ltd_4901,Direct,D-Mart,Chattishgarh,West,3.3,8.3,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Avenue Supermarts Ltd_490145444WestChattishgarhMamaearthFY_24-25MTDirectJune'243.3,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue Supermarts Ltd_4902,Direct,D-Mart,Chattishgarh,West,2.3,5.7,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Avenue Supermarts Ltd_490245444WestChattishgarhMamaearthFY_24-25MTDirectJune'242.3,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue Supermarts Ltd_4903,Direct,D-Mart,Chattishgarh,West,5.1,12.6,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Avenue Supermarts Ltd_490345444WestChattishgarhMamaearthFY_24-25MTDirectJune'245.1,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue Supermarts Ltd_4904,Direct,D-Mart,Chattishgarh,West,0.7,1.9,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Avenue Supermarts Ltd_490445444WestChattishgarhMamaearthFY_24-25MTDirectJune'240.7,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue Supermarts Ltd_4906,Direct,D-Mart,Chattishgarh,West,2.1,5.3,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Avenue Supermarts Ltd_490645444WestChattishgarhMamaearthFY_24-25MTDirectJune'242.1,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Guardian Healthcare Services Pvt Ltd(DL),Direct,Guardian,Delhi,North,0.3,0.5,Aqualogica,2024-06-01,June'24,FY_24-25,MT,Guardian Healthcare Services Pvt Ltd(DL)45444NorthDelhiAqualogicaFY_24-25MTDirectJune'240.3,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Guardian Healthcare Services Pvt Ltd(DL),Direct,Guardian,Delhi,North,0.6,1.1,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Guardian Healthcare Services Pvt Ltd(DL)45444NorthDelhiMamaearthFY_24-25MTDirectJune'240.6,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Guardian Healthcare Services Pvt Ltd(DL),Direct,Guardian,Delhi,North,0.6,1.3,The Derma Co,2024-06-01,June'24,FY_24-25,MT,Guardian Healthcare Services Pvt Ltd(DL)45444NorthDelhiThe Derma CoFY_24-25MTDirectJune'240.6,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Private Limited_T0EM,Direct,Metro-CNC-RRL,Gujarat,West,-0.4,-0.7,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Private Limited_T0EM45444WestGujaratMamaearthFY_24-25MTDirectJune'24-0.4,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Private Limited_T2SI,Direct,Metro-CNC-RRL,Pune,West,-0.3,-0.6,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Private Limited_T2SI45444WestPuneMamaearthFY_24-25MTDirectJune'24-0.3,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd -(DC27)-T0SJ,Direct,Metro-CNC-RRL,Karnataka,South-1,0.1,0.1,BBlunt,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd -(DC27)-T0SJ45444South-1KarnatakaBBluntFY_24-25MTDirectJune'240.1,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd -(DC27)-T0SJ,Direct,Metro-CNC-RRL,Karnataka,South-1,3.1,6.0,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd -(DC27)-T0SJ45444South-1KarnatakaMamaearthFY_24-25MTDirectJune'243.1,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd -(DC34)-T0SR,Direct,Metro-CNC-RRL,Karnataka,South-1,0.5,1.0,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd -(DC34)-T0SR45444South-1KarnatakaMamaearthFY_24-25MTDirectJune'240.5,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC10)-T0SM,Direct,Metro-CNC-RRL,Karnataka,South-1,0.1,0.1,BBlunt,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC10)-T0SM45444South-1KarnatakaBBluntFY_24-25MTDirectJune'240.1,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC10)-T0SM,Direct,Metro-CNC-RRL,Karnataka,South-1,4.2,7.9,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC10)-T0SM45444South-1KarnatakaMamaearthFY_24-25MTDirectJune'244.2,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC11)-T0SL,Direct,Metro-CNC-RRL,Karnataka,South-1,0.3,0.4,Aqualogica,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC11)-T0SL45444South-1KarnatakaAqualogicaFY_24-25MTDirectJune'240.3,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC11)-T0SL,Direct,Metro-CNC-RRL,Karnataka,South-1,0.2,0.3,BBlunt,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC11)-T0SL45444South-1KarnatakaBBluntFY_24-25MTDirectJune'240.2,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC11)-T0SL,Direct,Metro-CNC-RRL,Karnataka,South-1,4.8,9.4,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC11)-T0SL45444South-1KarnatakaMamaearthFY_24-25MTDirectJune'244.8,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC11)-T0SL,Direct,Metro-CNC-RRL,Karnataka,South-1,0.2,0.3,The Derma Co,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC11)-T0SL45444South-1KarnatakaThe Derma CoFY_24-25MTDirectJune'240.2,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC12)-T0QX,Direct,Metro-CNC-RRL,Telangana,South-2,0.2,0.3,Aqualogica,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC12)-T0QX45444South-2TelanganaAqualogicaFY_24-25MTDirectJune'240.2,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC12)-T0QX,Direct,Metro-CNC-RRL,Telangana,South-2,0.3,0.4,BBlunt,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC12)-T0QX45444South-2TelanganaBBluntFY_24-25MTDirectJune'240.3,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC12)-T0QX,Direct,Metro-CNC-RRL,Telangana,South-2,4.8,9.2,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC12)-T0QX45444South-2TelanganaMamaearthFY_24-25MTDirectJune'244.8,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC12)-T0QX,Direct,Metro-CNC-RRL,Telangana,South-2,0.3,0.5,The Derma Co,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC12)-T0QX45444South-2TelanganaThe Derma CoFY_24-25MTDirectJune'240.3,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC15)-T0QY,Direct,Metro-CNC-RRL,Telangana,South-2,5.5,10.2,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC15)-T0QY45444South-2TelanganaMamaearthFY_24-25MTDirectJune'245.5,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC16)-T0QZ,Direct,Metro-CNC-RRL,Telangana,South-2,0.0,0.1,BBlunt,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC16)-T0QZ45444South-2TelanganaBBluntFY_24-25MTDirectJune'240.0,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC16)-T0QZ,Direct,Metro-CNC-RRL,Telangana,South-2,3.5,7.1,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC16)-T0QZ45444South-2TelanganaMamaearthFY_24-25MTDirectJune'243.5,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC17)-T0QT,Direct,Metro-CNC-RRL,Andhra Pradesh,South-2,1.5,2.8,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC17)-T0QT45444South-2Andhra PradeshMamaearthFY_24-25MTDirectJune'241.5,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC18)-T0SN,Direct,Metro-CNC-RRL,Karnataka,South-1,0.1,0.2,BBlunt,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC18)-T0SN45444South-1KarnatakaBBluntFY_24-25MTDirectJune'240.1,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC18)-T0SN,Direct,Metro-CNC-RRL,Karnataka,South-1,3.3,6.6,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC18)-T0SN45444South-1KarnatakaMamaearthFY_24-25MTDirectJune'243.3,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC18)-T0SN,Direct,Metro-CNC-RRL,Karnataka,South-1,0.2,0.4,The Derma Co,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC18)-T0SN45444South-1KarnatakaThe Derma CoFY_24-25MTDirectJune'240.2,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC20)-T0RK,Direct,Metro-CNC-RRL,Mumbai,West,3.3,6.4,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC20)-T0RK45444WestMumbaiMamaearthFY_24-25MTDirectJune'243.3,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC23)-T0RL,Direct,Metro-CNC-RRL,Mumbai,West,3.4,6.5,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC23)-T0RL45444WestMumbaiMamaearthFY_24-25MTDirectJune'243.4,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC23)-T0RL,Direct,Metro-CNC-RRL,Mumbai,West,0.4,0.6,The Derma Co,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC23)-T0RL45444WestMumbaiThe Derma CoFY_24-25MTDirectJune'240.4,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC24)-T0RJ,Direct,Metro-CNC-RRL,Madhya Pradesh,North,0.2,0.3,BBlunt,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC24)-T0RJ45444NorthMadhya PradeshBBluntFY_24-25MTDirectJune'240.2,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC24)-T0RJ,Direct,Metro-CNC-RRL,Madhya Pradesh,North,3.3,6.5,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC24)-T0RJ45444NorthMadhya PradeshMamaearthFY_24-25MTDirectJune'243.3,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC25)-T0RB,Direct,Metro-CNC-RRL,Gujarat,West,1.6,3.0,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC25)-T0RB45444WestGujaratMamaearthFY_24-25MTDirectJune'241.6,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC26)-T0SP,Direct,Metro-CNC-RRL,Karnataka,South-1,4.4,9.3,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC26)-T0SP45444South-1KarnatakaMamaearthFY_24-25MTDirectJune'244.4,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC28)-T0RF,Direct,Metro-CNC-RRL,Gujarat,West,0.8,1.9,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC28)-T0RF45444WestGujaratMamaearthFY_24-25MTDirectJune'240.8,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC29)-T0RA,Direct,Metro-CNC-RRL,Telangana,South-2,0.3,0.5,BBlunt,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC29)-T0RA45444South-2TelanganaBBluntFY_24-25MTDirectJune'240.3,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC29)-T0RA,Direct,Metro-CNC-RRL,Telangana,South-2,3.3,7.2,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC29)-T0RA45444South-2TelanganaMamaearthFY_24-25MTDirectJune'243.3,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC30)-T0RM,Direct,Metro-CNC-RRL,Pune,West,4.6,8.7,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC30)-T0RM45444WestPuneMamaearthFY_24-25MTDirectJune'244.6,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC32)-T0QU,Direct,Metro-CNC-RRL,UPW,North,1.6,3.1,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC32)-T0QU45444NorthUPWMamaearthFY_24-25MTDirectJune'241.6,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC36)-T0RH,Direct,Metro-CNC-RRL,Andhra Pradesh,South-2,0.1,0.2,BBlunt,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC36)-T0RH45444South-2Andhra PradeshBBluntFY_24-25MTDirectJune'240.1,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC36)-T0RH,Direct,Metro-CNC-RRL,Andhra Pradesh,South-2,2.5,5.2,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC36)-T0RH45444South-2Andhra PradeshMamaearthFY_24-25MTDirectJune'242.5,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC37)-T0RD,Direct,Metro-CNC-RRL,Andhra Pradesh,South-2,0.1,0.2,BBlunt,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC37)-T0RD45444South-2Andhra PradeshBBluntFY_24-25MTDirectJune'240.1,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC37)-T0RD,Direct,Metro-CNC-RRL,Andhra Pradesh,South-2,0.4,0.8,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC37)-T0RD45444South-2Andhra PradeshMamaearthFY_24-25MTDirectJune'240.4,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC43)-T2YF,Direct,Metro-CNC-RRL,Punjab,North,0.2,0.4,BBlunt,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC43)-T2YF45444NorthPunjabBBluntFY_24-25MTDirectJune'240.2,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC43)-T2YF,Direct,Metro-CNC-RRL,Punjab,North,5.6,10.5,Mamaearth,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC43)-T2YF45444NorthPunjabMamaearthFY_24-25MTDirectJune'245.6,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC43)-T2YF,Direct,Metro-CNC-RRL,Punjab,North,0.0,0.1,The Derma Co,2024-06-01,June'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC43)-T2YF45444NorthPunjabThe Derma CoFY_24-25MTDirectJune'240.0,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
