Ship To Name,Direct/Distributor,Chain Name,State,Zone,NSV,MRP value,Brand,Revised month,Month,FY,Channel,Unique,Calulation for unique,Cont%
Avenue Supermarts Ltd.-DC-1050,Direct,D-Mart,Punjab,North,59.2,155.0,Mamaearth,2024-04-01,April'24,FY_24-25,MT,Avenue Supermarts Ltd.-DC-105045383NorthPunjabMamaearthFY_24-25MTDirectApril'2459.2,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue Supermarts Ltd.-DC-1068,Direct,D-Mart,Rajasthan,North,22.6,57.0,Mamaearth,2024-04-01,April'24,FY_24-25,MT,Avenue Supermarts Ltd.-DC-106845383NorthRajasthanMamaearthFY_24-25MTDirectApril'2422.6,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue Supermarts Ltd_4901,Direct,D-Mart,Chattishgarh,West,2.5,6.2,Mamaearth,2024-04-01,April'24,FY_24-25,MT,Avenue Supermarts Ltd_490145383WestChattishgarhMamaearthFY_24-25MTDirectApril'242.5,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue Supermarts Ltd_4902,Direct,D-Mart,Chattishgarh,West,3.5,9.1,Mamaearth,2024-04-01,April'24,FY_24-25,MT,Avenue Supermarts Ltd_490245383WestChattishgarhMamaearthFY_24-25MTDirectApril'243.5,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue Supermarts Ltd_4903,Direct,D-Mart,Chattishgarh,West,2.2,5.9,Mamaearth,2024-04-01,April'24,FY_24-25,MT,Avenue Supermarts Ltd_490345383WestChattishgarhMamaearthFY_24-25MTDirectApril'242.2,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue Supermarts Ltd_4904,Direct,D-Mart,Chattishgarh,West,1.0,2.8,Mamaearth,2024-04-01,April'24,FY_24-25,MT,Avenue Supermarts Ltd_490445383WestChattishgarhMamaearthFY_24-25MTDirectApril'241.0,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue Supermarts Ltd_4906,Direct,D-Mart,Chattishgarh,West,1.2,3.4,Mamaearth,2024-04-01,April'24,FY_24-25,MT,Avenue Supermarts Ltd_490645383WestChattishgarhMamaearthFY_24-25MTDirectApril'241.2,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Guardian Healthcare Services Pvt Ltd(DL),Direct,Guardian,Delhi,North,0.1,0.2,Aqualogica,2024-04-01,April'24,FY_24-25,MT,Guardian Healthcare Services Pvt Ltd(DL)45383NorthDelhiAqualogicaFY_24-25MTDirectApril'240.1,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Guardian Healthcare Services Pvt Ltd(DL),Direct,Guardian,Delhi,North,0.9,1.8,Mamaearth,2024-04-01,April'24,FY_24-25,MT,Guardian Healthcare Services Pvt Ltd(DL)45383NorthDelhiMamaearthFY_24-25MTDirectApril'240.9,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Guardian Healthcare Services Pvt Ltd(DL),Direct,Guardian,Delhi,North,0.2,0.4,The Derma Co,2024-04-01,April'24,FY_24-25,MT,Guardian Healthcare Services Pvt Ltd(DL)45383NorthDelhiThe Derma CoFY_24-25MTDirectApril'240.2,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
H&B STORES LIMITED-BLR,Direct,B&N,Karnataka,South-1,0.1,0.3,Aqualogica,2024-04-01,April'24,FY_24-25,MT,H&B STORES LIMITED-BLR45383South-1KarnatakaAqualogicaFY_24-25MTDirectApril'240.1,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
H&B STORES LIMITED-BLR,Direct,B&N,Karnataka,South-1,0.9,1.4,BBlunt,2024-04-01,April'24,FY_24-25,MT,H&B STORES LIMITED-BLR45383South-1KarnatakaBBluntFY_24-25MTDirectApril'240.9,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
H&B STORES LIMITED-BLR,Direct,B&N,Karnataka,South-1,3.9,6.7,Mamaearth,2024-04-01,April'24,FY_24-25,MT,H&B STORES LIMITED-BLR45383South-1KarnatakaMamaearthFY_24-25MTDirectApril'243.9,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
