FY,Month,Purchase Order Number,Inv No.,Inv. Date,Category,Article Code,SO No,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP Rate,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,Plant,Cust-SAP Code,MTD-Sale type,PO Type,Zone,State,Chain name,Dist chain ten,Store Code,Cust-SAP Code,sale in lac,Channel
FY'26-27,May'26,2604110184100002-RE,8061189598.0,46143.0,Face,10200316.0,1061175835.0,M/S KOTTARAM BUSINESS CORPORATION-MT,8904417314618.0,125.0,The Derma Co.,Sun Care,Face,Sun Care,Hyaluronic Acid,TDC 1% Hyaluronic Sunscreen Aqua Gel 125g,1249.0,96.0,65357.76,11764.41,119904.0,0.356800690552442,1004.0,1101841.0,Sales,Dist.,South-1,Kerala,M/S KOTTARAM BUSINESS,Apollo/H&G/Lulu,0.0,1101841.0,0.6535776,MT
FY'26-27,May'26,2604110184100002-RE,8061189598.0,46143.0,Face,10100600.0,1061175835.0,M/S KOTTARAM BUSINESS CORPORATION-MT,8906087778479.0,300.0,Mamaearth,Others,Face,Face Cream,Aloe Vera,Aloe Ashwagandha Gel 300 ml,349.0,89.0,16930.86,3047.56,31061.0,0.35680048935964703,1004.0,1101841.0,Sales,Dist.,South-1,Kerala,M/S KOTTARAM BUSINESS,Apollo/H&G/Lulu,0.0,1101841.0,0.1693086,MT
FY'26-27,May'26,2604110184100002-RE,8061189598.0,46143.0,Hair,10101112.0,1061175835.0,M/S KOTTARAM BUSINESS CORPORATION-MT,8904417312294.0,400.0,Mamaearth,Shampoo,Hair,Shampoo,Lemon,Lemon Anti-Dandruff Shampoo 400 ml,599.0,96.0,35225.27,1761.27,57504.0,0.35680057039510304,1004.0,1101841.0,Sales,Dist.,South-1,Kerala,M/S KOTTARAM BUSINESS,Apollo/H&G/Lulu,0.0,1101841.0,0.3522527,MT
FY'26-27,May'26,2604110184100002-RE,8061189598.0,46143.0,Face,10200316.0,1061175835.0,M/S KOTTARAM BUSINESS CORPORATION-MT,8904417314618.0,125.0,The Derma Co.,Sun Care,Face,Sun Care,Hyaluronic Acid,TDC 1% Hyaluronic Sunscreen Aqua Gel 125g,1249.0,39.0,26551.6,4779.29,48711.0,0.3568005173369465,1004.0,1101841.0,Sales,Dist.,South-1,Kerala,M/S KOTTARAM BUSINESS,Apollo/H&G/Lulu,0.0,1101841.0,0.265516,MT
FY'26-27,May'26,2604110184100002-RE,8061189598.0,46143.0,Face,10101166.0,1061175835.0,M/S KOTTARAM BUSINESS CORPORATION-MT,8904417312546.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,Vitamin C Face Wash 150 ml,449.0,96.0,23495.31,4229.16,43104.0,0.35680052895322933,1004.0,1101841.0,Sales,Dist.,South-1,Kerala,M/S KOTTARAM BUSINESS,Apollo/H&G/Lulu,0.0,1101841.0,0.23495310000000003,MT
FY'26-27,May'26,2604110184100002-RE,8061189598.0,46143.0,Face,10200048.0,1061175835.0,M/S KOTTARAM BUSINESS CORPORATION-MT,8906087775645.0,100.0,The Derma Co.,Face Cleanser,Face,Face Cleanser,Salicylic Acid,The Derma 1% Salicylic Acid Gel Face Wash,299.0,48.0,7823.05,1408.15,14352.0,0.35680044593088067,1004.0,1101841.0,Sales,Dist.,South-1,Kerala,M/S KOTTARAM BUSINESS,Apollo/H&G/Lulu,0.0,1101841.0,0.07823050000000001,MT
FY'26-27,May'26,2604110184100002-RE,8061189598.0,46143.0,Face,10300227.0,1061175835.0,M/S KOTTARAM BUSINESS CORPORATION-MT,8904417314021.0,200.0,Aqualogica,Others,Face,Moisturisers,Barrier+,Barrier+ Hydra Gel Moisturizer 200g,499.0,108.0,29375.67,5287.63,53892.0,0.3568006383136645,1004.0,1101841.0,Sales,Dist.,South-1,Kerala,M/S KOTTARAM BUSINESS,Apollo/H&G/Lulu,0.0,1101841.0,0.2937567,MT
FY'26-27,May'26,2604110303100005-RE,8061189599.0,46143.0,Face,10101167.0,1061175837.0,BALAJI ASSOCIATES Distributor MT,8904417312171.0,80.0,Mamaearth,Others,Face,Face Cream,Beetroot,Beetroot Daily Glow face Cream 80 g,249.0,96.0,13029.64,2345.35,23904.0,0.35680262717536815,1004.0,1103031.0,Sales,Dist.,East,Northeast,Balaji Associates Distributor MT,Vmart,0.0,1103031.0,0.1302964,MT
FY'26-27,May'26,2604110303100005-RE,8061189599.0,46143.0,Face,10101166.0,1061175837.0,BALAJI ASSOCIATES Distributor MT,8904417312546.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,Vitamin C Face Wash 150 ml,449.0,96.0,23495.22,4229.16,43104.0,0.3568026169265033,1004.0,1103031.0,Sales,Dist.,East,Northeast,Balaji Associates Distributor MT,Vmart,0.0,1103031.0,0.2349522,MT
FY'26-27,May'26,2604110303100005-RE,8061189599.0,46143.0,Face,10100913.0,1061175837.0,BALAJI ASSOCIATES Distributor MT,8904417305838.0,30.0,Mamaearth,Face Serum,Face,Face Serum,Vitamin C,Vitamin C Daily Glow Face Serum 30 ml,399.0,128.0,27838.43,5010.94,51072.0,0.3568027490601503,1004.0,1103031.0,Sales,Dist.,East,Northeast,Balaji Associates Distributor MT,Vmart,0.0,1103031.0,0.27838430000000003,MT
