FY,Month,Purchase Order Number,Inv No.,Inv. Date,Category,Article Code,SO No,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP Rate,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,Plant,Cust-SAP Code,MTD-Sale type,PO Type,Zone,State,Chain name,Dist chain ten,Store Code,Cust-SAP Code,sale in lac,Channel
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10100310.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8906087778233.0,50.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Ubtan,Ubtan Face Wash 50 ml,125.0,1.0,69.33,12.48,125.0,0.34551999999999994,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0006933,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Hair,10100615.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8906087778776.0,100.0,Mamaearth,Shampoo,Hair,Shampoo,Onion,Onion Shampoo 100 ml,114.0,15.0,1065.9,53.3,1710.0,0.34549707602339175,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.010659,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10101336.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8904417318432.0,50.0,Mamaearth,Moisturisers,Face,Moisturisers,Rice,ME Rice Dewy Bright Light Moisturizing Cream 50 g - Offline Saver Pack,149.0,5.0,413.22,74.38,745.0,0.3455033557046979,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0041322,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10101271.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8904417316407.0,50.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Multani Mitti,Multani Mitti Face Wash 50 ml,125.0,24.0,1663.98,299.52,3000.0,0.34550000000000003,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0166398,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10101272.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8904417316346.0,50.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Face Wash 50 ml,125.0,9.0,623.99,112.32,1125.0,0.34550222222222227,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0062399000000000005,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10100912.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8904417305258.0,50.0,Mamaearth,Sun Care,Face,Sun Care,Vitamin C,Vitamin C Daily Glow Sunscreen 50 g,349.0,20.0,3871.54,696.88,6980.0,0.34549856733524353,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0387154,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10100618.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8906087779032.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Face Wash 100 ml,285.0,27.0,4268.13,768.26,7695.0,0.345498375568551,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0426813,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10100618.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8906087779032.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Face Wash 100 ml,285.0,120.0,18969.52,3414.5,34200.0,0.34549649122807014,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.1896952,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Body,10100103.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8906087772439.0,300.0,Mamaearth,Others,Body,Body Gel,Aloe Vera,Aloe Vera Gel with Pure Aloe Vera & Vitamin E for Skin and Hair - 300ml,319.0,6.0,1061.62,191.1,1914.0,0.3454963427377221,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0106162,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10200295.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8904417313000.0,30.0,The Derma Co.,Face Cleanser,Face,Face Cleanser,Sali-Cinamide,2% Sali-Cinamide Anti-Acne Face Wash30ml,129.0,9.0,710.86,127.96,1161.0,0.2775021533161067,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0071086000000000005,EB2B
