FY,Month,Purchase Order Number,Inv No.,Inv. Date,Category,Article Code,SO No,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP Rate,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,Plant,Cust-SAP Code,MTD-Sale type,PO Type,Zone,State,Chain name,Dist chain ten,Store Code,Cust-SAP Code.1,sale in lac,Channel
FY'25-26,Sep'25,NDH84586,8061154301.0,45903.0,Face,,1061135092.0,Nykaa E-Retail Limited.-UP-Hapur EB2B,8906087772477.0,100.0,Mamaearth,Others,Face,Face Scrub,Charcoal,Charcoal Face Scrub For Oily Skin & Normal skin with Charcoal & Walnut for Deep Exfoliation Ã¯Â¿Â½ 100g,349.0,3.0,580.73,104.53,1047.0,0.3455014326647564,1004.0,1103991.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103991.0,0.0058073,EB2B
FY'25-26,Sep'25,NDH84586,8061154301.0,45903.0,Face,,1061135092.0,Nykaa E-Retail Limited.-UP-Hapur EB2B,8906087772477.0,100.0,Mamaearth,Others,Face,Face Scrub,Charcoal,Charcoal Face Scrub For Oily Skin & Normal skin with Charcoal & Walnut for Deep Exfoliation Ã¯Â¿Â½ 100g,349.0,1.0,193.58,34.84,349.0,0.3455014326647564,1004.0,1103991.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103991.0,0.0019358,EB2B
FY'25-26,Sep'25,NDH84586,8061154301.0,45903.0,Baby,,1061135092.0,Nykaa E-Retail Limited.-UP-Hapur EB2B,8904417300673.0,60.0,Mamaearth,Baby,Baby,Moisturisers,Coco Soft,Coco Soft Face Cream For Babies 60 g,199.0,3.0,331.14,59.61,597.0,0.3454773869346733,1004.0,1103991.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103991.0,0.0033114,EB2B
FY'25-26,Sep'25,NDH84586,8061154301.0,45903.0,Face,,1061135092.0,Nykaa E-Retail Limited.-UP-Hapur EB2B,8906087772064.0,30.0,The Derma Co.,Others,Face,Cream,Kojic Acid,2% Kojic Acid Cream 30gm,499.0,6.0,1833.2,329.97,2994.0,0.2774983299933199,1004.0,1103991.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103991.0,0.018332,EB2B
FY'25-26,Sep'25,NDH84586,8061154301.0,45903.0,Face,,1061135092.0,Nykaa E-Retail Limited.-UP-Hapur EB2B,8906087772859.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination Ã¯Â¿Â½ 100ml,269.0,59.0,8803.06,1584.55,15871.0,0.3454974481759184,1004.0,1103991.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103991.0,0.0880306,EB2B
FY'25-26,Sep'25,NDH84586,8061154301.0,45903.0,Face,,1061135092.0,Nykaa E-Retail Limited.-UP-Hapur EB2B,8904417307139.0,10.0,The Derma Co.,Face Serum,Face,Face Serum,Kojic Acid,2% Kojic Acid Face Serum 10 ml,249.0,3.0,457.38,82.33,747.0,0.2774966532797858,1004.0,1103991.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103991.0,0.0045738,EB2B
FY'25-26,Sep'25,NDH84586,8061154301.0,45903.0,Baby,,1061135092.0,Nykaa E-Retail Limited.-UP-Hapur EB2B,8906087771319.0,50.0,Mamaearth,Baby,Baby,Oral,Orange,Sulfate Free Awesome Orange Toothpaste For Kids With Fluoride,149.0,6.0,495.86,89.25,894.0,0.3455145413870246,1004.0,1103991.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103991.0,0.0049586,EB2B
FY'25-26,Sep'25,NDH84586,8061154301.0,45903.0,Baby,,1061135092.0,Nykaa E-Retail Limited.-UP-Hapur EB2B,8904417300673.0,60.0,Mamaearth,Baby,Baby,Moisturisers,Coco Soft,Coco Soft Face Cream For Babies 60 g,199.0,2.0,220.75,39.74,398.0,0.345502512562814,1004.0,1103991.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103991.0,0.0022075,EB2B
FY'25-26,Sep'25,NDH84586,8061154301.0,45903.0,Baby,,1061135092.0,Nykaa E-Retail Limited.-UP-Hapur EB2B,8904417300673.0,60.0,Mamaearth,Baby,Baby,Moisturisers,Coco Soft,Coco Soft Face Cream For Babies 60 g,199.0,1.0,110.38,19.87,199.0,0.3454773869346733,1004.0,1103991.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103991.0,0.0011038,EB2B
FY'25-26,Sep'25,NDH84586,8061154301.0,45903.0,Face,,1061135092.0,Nykaa E-Retail Limited.-UP-Hapur EB2B,8904417315141.0,150.0,The Derma Co.,Face Cleanser,Face,Face Cleanser,Sali-Cinamide,TDC 2% Sali Cinamide anti-acne face wash 150ml,449.0,1.0,274.92,49.49,449.0,0.2774832962138084,1004.0,1103991.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103991.0,0.0027492,EB2B
FY'25-26,Sep'25,NDH84586,8061154301.0,45903.0,Face,,1061135092.0,Nykaa E-Retail Limited.-UP-Hapur EB2B,8906087779032.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Face Wash 100 ml,269.0,2.0,298.41,53.71,538.0,0.3455018587360594,1004.0,1103991.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103991.0,0.0029841,EB2B
FY'25-26,Sep'25,NDH84586,8061154301.0,45903.0,Face,,1061135092.0,Nykaa E-Retail Limited.-UP-Hapur EB2B,8906087772040.0,30.0,The Derma Co.,Face Serum,Face,Face Serum,Niacinamide,10% Niacinamide Serum 30ml,599.0,6.0,2200.57,396.1,3594.0,0.2774986087924318,1004.0,1103991.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103991.0,0.0220057,EB2B
FY'25-26,Sep'25,NDH84586,8061154301.0,45903.0,Face,,1061135092.0,Nykaa E-Retail Limited.-UP-Hapur EB2B,8904417314755.0,150.0,The Derma Co.,Face Cleanser,Face,Face Cleanser,Kojic Acid,TDC 1% Kojic Acid Face Wash,449.0,9.0,2474.26,445.37,4041.0,0.2774981440237565,1004.0,1103991.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103991.0,0.0247426,EB2B
FY'25-26,Sep'25,NDH84586,8061154301.0,45903.0,Face,,1061135092.0,Nykaa E-Retail Limited.-UP-Hapur EB2B,8906087779032.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Face Wash 100 ml,269.0,9.0,1342.83,241.71,2421.0,0.3455018587360595,1004.0,1103991.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103991.0,0.0134282999999999,EB2B
FY'25-26,Sep'25,NDH84589,8061154302.0,45903.0,Face,,1061135091.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8904417314267.0,50.0,Mamaearth,Face Serum,Face,Face Serum,Rice,Rice Water Dewy Active Serum 50 ml,499.0,3.0,830.33,149.46,1497.0,0.3454976619906479,1004.0,1103982.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0083033,EB2B
FY'25-26,Sep'25,NDH84589,8061154302.0,45903.0,Face,,1061135091.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8906087770671.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Ubtan,ME Ubtan Natural Glow Face Wash With Turmeric & Saffron 100ml,269.0,17.0,2536.46,456.56,4573.0,0.3455018587360594,1004.0,1103982.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0253646,EB2B
