FY,Month,Purchase Order Number,Inv No.,Inv. Date,Category,Article Code,SO No,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP Rate,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,Plant,Cust-SAP Code,MTD-Sale type,PO Type,Zone,State,Chain name,Dist chain ten,Store Code,Cust-SAP Code.1,sale in lac,Channel
FY'25-26,Jan'26,9202218193.0,8061171504.0,46024.0,Hair,10100076.0,1061154934.0,Reliance Retail Limited_Fraz,8906087771807.0,250.0,Mamaearth,Shampoo,Hair,Shampoo,Onion,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin 250 ml,310.0,45.0,9300.0,465.0,13950.0,0.3,1004.0,1100928.0,Sales,Direct,North,Punjab,Reliance Retail Limited,Reliance Retail Limited,Fraz,1100928.0,0.093,MT
FY'25-26,Jan'26,5112561982.0,8061171505.0,46024.0,Face,10101163.0,1061154990.0,Reliance Retail Limited_Sk8I,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,419.0,48.0,6817.83,1227.17,20112.0,0.5999900556881463,1004.0,1101085.0,Sales,Direct,North,Uttarakhand,Reliance Retail Limited,Reliance Retail Limited,Sk8I,1101085.0,0.0681783,MT
FY'25-26,Jan'26,9202218217.0,8061171506.0,46024.0,Hair,10101057.0,1061154935.0,Reliance Retail Limited-S2BZ,8904417310245.0,200.0,Mamaearth,Others,Hair,Hair Oil,Onion,ME Onion hair oil 200 ml,444.0,108.0,18723.9,936.21,47952.0,0.5900043793793794,1004.0,1103528.0,Sales,Direct,North,Lucknow-UPE,Reliance Retail Limited,Reliance Retail Limited,S2BZ,1103528.0,0.187239,MT
FY'25-26,Jan'26,9202218217.0,8061171506.0,46024.0,Hair,10100076.0,1061154935.0,Reliance Retail Limited-S2BZ,8906087771807.0,250.0,Mamaearth,Shampoo,Hair,Shampoo,Onion,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin 250 ml,310.0,45.0,9299.89,465.0,13950.0,0.3000078853046595,1004.0,1103528.0,Sales,Direct,North,Lucknow-UPE,Reliance Retail Limited,Reliance Retail Limited,S2BZ,1103528.0,0.0929989,MT
FY'25-26,Jan'26,5112571748.0,8061171507.0,46024.0,Hair,10101055.0,1061154932.0,Reliance Retail Limited_SZ9J,8904417310351.0,400.0,Mamaearth,Shampoo,Hair,Shampoo,Rosemary,ME Rosemary Anti-Hairfall Shampoo 400 ml,533.0,72.0,15167.62,758.38,38376.0,0.5850010423181156,1004.0,1103018.0,Sales,Direct,North,Madhya Pradesh,Reliance Retail Limited,Reliance Retail Limited,SZ9J,1103018.0,0.1516762,MT
FY'25-26,Jan'26,5112571747.0,8061171508.0,46024.0,Hair,10101055.0,1061154931.0,RELIANCE RETAIL LIMITED-Badli,8904417310351.0,400.0,Mamaearth,Shampoo,Hair,Shampoo,Rosemary,ME Rosemary Anti-Hairfall Shampoo 400 ml,533.0,408.0,85950.5,4297.5,217464.0,0.5849979766765994,1004.0,1102038.0,Sales,Direct,North,Haryana,Reliance Retail Limited,Reliance Retail Limited,SLE8,1102038.0,0.859505,MT
FY'25-26,Jan'26,5112563595.0,8061171509.0,46024.0,Body,10101211.0,1061154920.0,Reliance Retail Limited-S2BZ,8904417315738.0,275.0,Mamaearth,Body Wash,Body,Body Wash,Vitamin C,Vitamin C Moisturizing Body Wash 275ml (250ml + 25ml),299.0,216.0,38312.54,6896.26,64584.0,0.2999999999999999,1004.0,1103528.0,Sales,Direct,North,Lucknow-UPE,Reliance Retail Limited,Reliance Retail Limited,S2BZ,1103528.0,0.3831254,MT
FY'25-26,Jan'26,5112563595.0,8061171509.0,46024.0,Body,10101311.0,1061154920.0,Reliance Retail Limited-S2BZ,8904417317596.0,500.0,Mamaearth,Body Wash,Body,Body Wash,Rice Water,Rice Water Moisturizing Body Wash 500 ml,599.0,168.0,36244.58,6524.02,100632.0,0.575,1004.0,1103528.0,Sales,Direct,North,Lucknow-UPE,Reliance Retail Limited,Reliance Retail Limited,S2BZ,1103528.0,0.3624458,MT
FY'25-26,Jan'26,5112563595.0,8061171509.0,46024.0,Body,10101268.0,1061154920.0,Reliance Retail Limited-S2BZ,8904417317053.0,275.0,Mamaearth,Body Wash,Body,Body Wash,Ubtan,Ubtan Moisturizing Body Wash 275 ml,299.0,192.0,34055.59,6130.01,57408.0,0.3,1004.0,1103528.0,Sales,Direct,North,Lucknow-UPE,Reliance Retail Limited,Reliance Retail Limited,S2BZ,1103528.0,0.3405558999999999,MT
FY'25-26,Jan'26,9202218304.0,8061171510.0,46024.0,Baby,10100022.0,1061154938.0,RELIANCE RETAIL LIMITED-SH71,8906087770442.0,400.0,Mamaearth,Baby,Baby,Shampoo,Solution Oriented,Gentle Cleansing Shampoo 400ml,444.0,30.0,5328.04,266.4,13320.0,0.579996996996997,1004.0,1101954.0,Sales,Direct,North,Madhya Pradesh,Reliance Retail Limited,Reliance Retail Limited,SH71,1101954.0,0.0532804,MT
FY'25-26,Jan'26,9202218304.0,8061171510.0,46024.0,Hair,10101057.0,1061154938.0,RELIANCE RETAIL LIMITED-SH71,8904417310245.0,200.0,Mamaearth,Others,Hair,Hair Oil,Onion,ME Onion hair oil 200 ml,444.0,36.0,6241.42,312.07,15984.0,0.5899968718718719,1004.0,1101954.0,Sales,Direct,North,Madhya Pradesh,Reliance Retail Limited,Reliance Retail Limited,SH71,1101954.0,0.0624142,MT
FY'25-26,Jan'26,9202218304.0,8061171510.0,46024.0,Hair,10100076.0,1061154938.0,RELIANCE RETAIL LIMITED-SH71,8906087771807.0,250.0,Mamaearth,Shampoo,Hair,Shampoo,Onion,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin 250 ml,310.0,45.0,9300.07,465.0,13950.0,0.2999949820788531,1004.0,1101954.0,Sales,Direct,North,Madhya Pradesh,Reliance Retail Limited,Reliance Retail Limited,SH71,1101954.0,0.0930006999999999,MT
FY'25-26,Jan'26,5112550650.0,8061171515.0,46024.0,Body,10101211.0,1061154978.0,RELIANCE RETAIL LIMITED-SH69,8904417315738.0,275.0,Mamaearth,Body Wash,Body,Body Wash,Vitamin C,Vitamin C Moisturizing Body Wash 275ml (250ml + 25ml),299.0,96.0,17027.82,3065.0,28704.0,0.2999993032329989,1004.0,1101622.0,Sales,Direct,North,Haryana,Reliance Retail Limited,Reliance Retail Limited,SH69,1101622.0,0.1702782,MT
FY'25-26,Jan'26,5112550650.0,8061171515.0,46024.0,Body,10101311.0,1061154978.0,RELIANCE RETAIL LIMITED-SH69,8904417317596.0,500.0,Mamaearth,Body Wash,Body,Body Wash,Rice Water,Rice Water Moisturizing Body Wash 500 ml,599.0,72.0,15533.41,2796.02,43128.0,0.5749993043962158,1004.0,1101622.0,Sales,Direct,North,Haryana,Reliance Retail Limited,Reliance Retail Limited,SH69,1101622.0,0.1553341,MT
FY'25-26,Jan'26,5112550650.0,8061171515.0,46024.0,Hair,10101045.0,1061154978.0,RELIANCE RETAIL LIMITED-SH69,8904417309546.0,650.0,Mamaearth,Shampoo,Hair,Shampoo,Onion,Onion Shampoo 650ml,862.0,48.0,14186.07,709.3,41376.0,0.6399997583139985,1004.0,1101622.0,Sales,Direct,North,Haryana,Reliance Retail Limited,Reliance Retail Limited,SH69,1101622.0,0.1418607,MT
FY'25-26,Jan'26,5112550650.0,8061171515.0,46024.0,Body,10101268.0,1061154978.0,RELIANCE RETAIL LIMITED-SH69,8904417317053.0,275.0,Mamaearth,Body Wash,Body,Body Wash,Ubtan,Ubtan Moisturizing Body Wash 275 ml,299.0,72.0,12770.86,2298.76,21528.0,0.2999990709773318,1004.0,1101622.0,Sales,Direct,North,Haryana,Reliance Retail Limited,Reliance Retail Limited,SH69,1101622.0,0.1277086,MT
FY'25-26,Jan'26,5112550650.0,8061171515.0,46024.0,Body,10101274.0,1061154978.0,RELIANCE RETAIL LIMITED-SH69,8904417317268.0,400.0,Mamaearth,Body Lotion,Body,Body Lotion,Vitamin C,Vitamin C Daily Glow Body Lotion 400 ml,499.0,24.0,4313.39,776.42,11976.0,0.5749991649966599,1004.0,1101622.0,Sales,Direct,North,Haryana,Reliance Retail Limited,Reliance Retail Limited,SH69,1101622.0,0.0431339,MT
FY'25-26,Jan'26,5112550650.0,8061171515.0,46024.0,Body,10101305.0,1061154978.0,RELIANCE RETAIL LIMITED-SH69,8904417317589.0,500.0,Mamaearth,Body Wash,Body,Body Wash,Vitamin C,Vitamin C Moisturizing Body Wash 500 ml,599.0,24.0,5177.81,932.0,14376.0,0.5749993043962158,1004.0,1101622.0,Sales,Direct,North,Haryana,Reliance Retail Limited,Reliance Retail Limited,SH69,1101622.0,0.0517781,MT
FY'25-26,Jan'26,5112550650.0,8061171515.0,46024.0,Face,10100695.0,1061154978.0,RELIANCE RETAIL LIMITED-SH69,8904417300512.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Ubtan,ME Ubtan Natural Glow Face Wash With Turmeric & Saffron 150ml,419.0,160.0,24998.0,4499.64,67040.0,0.5599994033412887,1004.0,1101622.0,Sales,Direct,North,Haryana,Reliance Retail Limited,Reliance Retail Limited,SH69,1101622.0,0.24998,MT
FY'25-26,Jan'26,5112550650.0,8061171515.0,46024.0,Body,10101090.0,1061154978.0,RELIANCE RETAIL LIMITED-SH69,8904417311570.0,500.0,Mamaearth,Soap,Body,Soap,Vitamin C,Vitamin C Moisturizing Lotion Soap Pack of 4 (125 g x 4),378.0,24.0,3974.4,198.72,9072.0,0.54,1004.0,1101622.0,Sales,Direct,North,Haryana,Reliance Retail Limited,Reliance Retail Limited,SH69,1101622.0,0.039744,MT
FY'25-26,Jan'26,5112550650.0,8061171515.0,46024.0,Body,10101088.0,1061154978.0,RELIANCE RETAIL LIMITED-SH69,8904417311587.0,500.0,Mamaearth,Soap,Body,Soap,Ubtan,Ubtan Moisturizing Lotion Soap Pack of 4 (125 g x 4),378.0,12.0,1987.2,99.36,4536.0,0.54,1004.0,1101622.0,Sales,Direct,North,Haryana,Reliance Retail Limited,Reliance Retail Limited,SH69,1101622.0,0.019872,MT
FY'25-26,Jan'26,5112550650.0,8061171515.0,46024.0,Face,10101272.0,1061154978.0,RELIANCE RETAIL LIMITED-SH69,8904417316346.0,50.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Face Wash 50 ml,125.0,72.0,5338.99,961.02,9000.0,0.2999988888888888,1004.0,1101622.0,Sales,Direct,North,Haryana,Reliance Retail Limited,Reliance Retail Limited,SH69,1101622.0,0.0533899,MT
FY'25-26,Jan'26,5112550650.0,8061171515.0,46024.0,Body,10101276.0,1061154978.0,RELIANCE RETAIL LIMITED-SH69,8904417317244.0,400.0,Mamaearth,Body Lotion,Body,Body Lotion,Rice Water,Rice Water Hydrating Body Lotion 400 ml,499.0,24.0,4313.39,776.42,11976.0,0.5749991649966599,1004.0,1101622.0,Sales,Direct,North,Haryana,Reliance Retail Limited,Reliance Retail Limited,SH69,1101622.0,0.0431339,MT
