FY,Month,Purchase Order Number,Inv No.,Inv. Date,Category,Article Code,SO No,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP Rate,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,Plant,Cust-SAP Code,MTD-Sale type,PO Type,Zone,State,Chain name,Dist chain ten,Store Code,Cust-SAP Code,sale in lac,Channel
FY'25-26,Nov'25,NDH91300,8061162442.0,45965.0,Body,10100103.0,1061144791.0,Nykaa E-Retail Limited.-UP-LKW EB2B,8906087772439.0,300.0,Mamaearth,Others,Body,Body Gel,Aloe Vera,Aloe Vera Gel with Pure Aloe Vera & Vitamin E for Skin and Hair - 300ml,319.0,6.0,1061.62,191.09,1914.0,0.3455015673981192,1004.0,1103984.0,Sales,Direct,North,Lucknow-UPE,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103984.0,0.0106162,EB2B
FY'25-26,Nov'25,NDH91300,8061162442.0,45965.0,Face,10100311.0,1061144791.0,Nykaa E-Retail Limited.-UP-LKW EB2B,8906087778240.0,50.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,ME Vitamin C Daily Glow Face Wash 50 ml,99.0,1.0,54.92,9.89,99.0,0.3453535353535353,1004.0,1103984.0,Sales,Direct,North,Lucknow-UPE,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103984.0,0.0005492,EB2B
FY'25-26,Nov'25,NDH91300,8061162442.0,45965.0,Hair,10100108.0,1061144791.0,Nykaa E-Retail Limited.-UP-LKW EB2B,8906087772491.0,250.0,Mamaearth,Others,Hair,Hair Oil,Onion,Onion Hair Oil for Hair Regrowth & Hair Fall Control 250ml,533.0,6.0,1993.42,99.67,3198.0,0.3455003126954346,1004.0,1103984.0,Sales,Direct,North,Lucknow-UPE,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103984.0,0.0199342,EB2B
FY'25-26,Nov'25,NDH91300,8061162442.0,45965.0,Body,10101274.0,1061144791.0,Nykaa E-Retail Limited.-UP-LKW EB2B,8904417317268.0,400.0,Mamaearth,Body Lotion,Body,Body Lotion,Vitamin C,Vitamin C Daily Glow Body Lotion 400 ml,499.0,15.0,2854.44,513.8,7485.0,0.5500013360053441,1004.0,1103984.0,Sales,Direct,North,Lucknow-UPE,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103984.0,0.0285444,EB2B
FY'25-26,Nov'25,NDH91300,8061162442.0,45965.0,Face,10200026.0,1061144791.0,Nykaa E-Retail Limited.-UP-LKW EB2B,8906087773849.0,30.0,The Derma Co.,Face Serum,Face,Face Serum,Salicylic Acid,2% SALICYLIC ACID SERUM 30 ml,499.0,6.0,1833.19,329.97,2994.0,0.27750167000668,1004.0,1103984.0,Sales,Direct,North,Lucknow-UPE,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103984.0,0.0183319,EB2B
FY'25-26,Nov'25,NDH91300,8061162442.0,45965.0,Face,10101390.0,1061144791.0,Nykaa E-Retail Limited.-UP-LKW EB2B,8904417319910.0,200.0,Mamaearth,Moisturisers,Face,Moisturisers,Rice,ME Rice Dewy Bright Light Gel Moisturizer 200 G,499.0,9.0,1712.67,308.28,4491.0,0.55,1004.0,1103984.0,Sales,Direct,North,Lucknow-UPE,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103984.0,0.0171267,EB2B
FY'25-26,Nov'25,NDH91300,8061162442.0,45965.0,Face,10101271.0,1061144791.0,Nykaa E-Retail Limited.-UP-LKW EB2B,8904417316407.0,50.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Multani Mitti,Multani Mitti Face Wash 50 ml,125.0,18.0,1247.98,224.64,2250.0,0.34550222222222227,1004.0,1103984.0,Sales,Direct,North,Lucknow-UPE,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103984.0,0.012479800000000001,EB2B
FY'25-26,Nov'25,NDH91300,8061162442.0,45965.0,Face,10100121.0,1061144791.0,Nykaa E-Retail Limited.-UP-LKW EB2B,8906087772859.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination Ã¯Â¿Â½ 100ml,269.0,1.0,149.2,26.86,269.0,0.34550185873605943,1004.0,1103984.0,Sales,Direct,North,Lucknow-UPE,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103984.0,0.0014919999999999998,EB2B
FY'25-26,Nov'25,NDH91300,8061162442.0,45965.0,Face,10101428.0,1061144791.0,Nykaa E-Retail Limited.-UP-LKW EB2B,8904417320732.0,50.0,Mamaearth,Moisturisers,Face,Moisturisers,Aloe Vera,ME Aloe Refresh Hydrating Light Gel Moisturizer 50 g,149.0,9.0,743.8,133.88,1341.0,0.34550335570469803,1004.0,1103984.0,Sales,Direct,North,Lucknow-UPE,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103984.0,0.007437999999999999,EB2B
FY'25-26,Nov'25,NDH91300,8061162442.0,45965.0,Body,10101276.0,1061144791.0,Nykaa E-Retail Limited.-UP-LKW EB2B,8904417317244.0,400.0,Mamaearth,Body Lotion,Body,Body Lotion,Rice Water,Rice Water Hydrating Body Lotion 400 ml,499.0,18.0,3425.33,616.56,8982.0,0.5500011133377867,1004.0,1103984.0,Sales,Direct,North,Lucknow-UPE,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103984.0,0.0342533,EB2B
