FY,Month,Purchase Order Number,Inv No.,Inv. Date,Category,Article Code,SO No,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP Rate,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,Plant,Cust-SAP Code,MTD-Sale type,PO Type,Zone,State,Chain name,Dist chain ten,Store Code,Cust-SAP Code,sale in lac,Channel
FY'25-26,Aug'25,PO NO: 25/009/PO-1965,8061150759.0,45870.0,Hair,,1061131169.0,Guardian Healthcare Services Pvt Ltd(DL),8906087771807.0,250.0,Mamaearth,Shampoo,Hair,Shampoo,Onion,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin 250 ml,349.0,45.0,7985.62,1437.41,15705.0,0.3999980897803247,1004.0,1101422.0,Sales,Direct,North,Delhi NCR,Guardian Healthcare,Guardian Healthcare,,1101422.0,0.0798562,MT
FY'25-26,Aug'25,9201864576.0,8061150760.0,45870.0,Face,,1061131174.0,Reliance Retail Limited_SZ9J,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,419.0,864.0,122716.89,22089.11,362016.0,0.6000011049235393,1004.0,1103018.0,Sales,Direct,North,Madhya Pradesh,Reliance Retail Limited,Reliance Retail Limited,,1103018.0,1.2271689,MT
FY'25-26,Aug'25,9201864572.0,8061150761.0,45870.0,Face,,1061131170.0,RELIANCE RETAIL LIMITED-SH69,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,419.0,1920.0,272705.08,49086.92,804480.0,0.6,1004.0,1101622.0,Sales,Direct,North,Haryana,Reliance Retail Limited,Reliance Retail Limited,,1101622.0,2.7270508,MT
FY'25-26,Aug'25,9201864568.0,8061150762.0,45870.0,Face,,1061131168.0,Reliance Retail Limited_Fr87,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,419.0,2160.0,306793.22,55222.78,905040.0,0.6,1004.0,1100930.0,Sales,Direct,North,Haryana,Reliance Retail Limited,Reliance Retail Limited,,1100930.0,3.0679321999999996,MT
FY'25-26,Aug'25,9201864575.0,8061150763.0,45870.0,Face,,1061131173.0,RELIANCE RETAIL LIMITED-Badli,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,419.0,2064.0,293157.56,52768.44,864816.0,0.6000004625261327,1004.0,1102038.0,Sales,Direct,North,Haryana,Reliance Retail Limited,Reliance Retail Limited,,1102038.0,2.9315756,MT
FY'25-26,Aug'25,9201864567.0,8061150764.0,45870.0,Face,,1061131175.0,Reliance Retail Limited Fb08,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,419.0,2640.0,374969.49,67494.51,1106160.0,0.6,1004.0,1100618.0,Sales,Direct,North,Punjab,Reliance Retail Limited,Reliance Retail Limited,,1100618.0,3.7496948999999997,MT
FY'25-26,Aug'25,S000248785,8061150765.0,45870.0,Hair,,1061131098.0,Apollo Healthco Ltd_Raipur,8904417310351.0,400.0,Mamaearth,Shampoo,Hair,Shampoo,Rosemary,ME Rosemary Anti-Hairfall Shampoo 400 ml,559.0,6.0,1051.68,189.3,3354.0,0.63,1004.0,1101274.0,Sales,Direct,West,CG,Apollo Healthco,Apollo Healthco,,1101274.0,0.010516800000000001,MT
FY'25-26,Aug'25,S000248785,8061150765.0,45870.0,Baby,,1061131098.0,Apollo Healthco Ltd_Raipur,8904417308129.0,400.0,Mamaearth,Baby,Baby,Baby Body Wash,Milky,ME Baby MilkySoft Head To Toe Wash 400ml,499.0,48.0,7510.38,1351.87,23952.0,0.62999958249833,1004.0,1101274.0,Sales,Direct,West,CG,Apollo Healthco,Apollo Healthco,,1101274.0,0.0751038,MT
FY'25-26,Aug'25,S000248785,8061150765.0,45870.0,Face,,1061131098.0,Apollo Healthco Ltd_Raipur,8904417312546.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,Vitamin C Face Wash 150 ml,399.0,21.0,2662.81,479.31,8379.0,0.62500059672992,1004.0,1101274.0,Sales,Direct,West,CG,Apollo Healthco,Apollo Healthco,,1101274.0,0.0266281,MT
FY'25-26,Aug'25,S000248785,8061150765.0,45870.0,Body,,1061131098.0,Apollo Healthco Ltd_Raipur,8904417315660.0,275.0,Mamaearth,Body Wash,Body,Body Wash,Rice Water,Rice Water Moisturizing Body Wash 275ml,299.0,13.0,1383.51,249.03,3887.0,0.5800000000000001,1004.0,1101274.0,Sales,Direct,West,CG,Apollo Healthco,Apollo Healthco,,1101274.0,0.0138351,MT
FY'25-26,Aug'25,S000248785,8061150765.0,45870.0,Hair,,1061131098.0,Apollo Healthco Ltd_Raipur,8904417310351.0,400.0,Mamaearth,Shampoo,Hair,Shampoo,Rosemary,ME Rosemary Anti-Hairfall Shampoo 400 ml,559.0,24.0,4206.72,757.21,13416.0,0.6299992546213476,1004.0,1101274.0,Sales,Direct,West,CG,Apollo Healthco,Apollo Healthco,,1101274.0,0.042067200000000006,MT
FY'25-26,Aug'25,S000248785,8061150765.0,45870.0,Face,,1061131098.0,Apollo Healthco Ltd_Raipur,8904417312546.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,Vitamin C Face Wash 150 ml,399.0,99.0,12553.31,2259.59,39501.0,0.6249993671046303,1004.0,1101274.0,Sales,Direct,West,CG,Apollo Healthco,Apollo Healthco,,1101274.0,0.1255331,MT
FY'25-26,Aug'25,S000248785,8061150765.0,45870.0,Face,,1061131098.0,Apollo Healthco Ltd_Raipur,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,419.0,40.0,5326.28,958.73,16760.0,0.6249994033412888,1004.0,1101274.0,Sales,Direct,West,CG,Apollo Healthco,Apollo Healthco,,1101274.0,0.0532628,MT
FY'25-26,Aug'25,S000248785,8061150765.0,45870.0,Face,,1061131098.0,Apollo Healthco Ltd_Raipur,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,419.0,240.0,31957.68,5752.37,100560.0,0.6249995027844073,1004.0,1101274.0,Sales,Direct,West,CG,Apollo Healthco,Apollo Healthco,,1101274.0,0.3195768,MT
FY'25-26,Aug'25,S000248785,8061150765.0,45870.0,Face,,1061131098.0,Apollo Healthco Ltd_Raipur,8906087773924.0,250.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,ME Vitamin C Daily Glow Face Wash 250 ml,499.0,60.0,9514.84,1712.67,29940.0,0.624999665998664,1004.0,1101274.0,Sales,Direct,West,CG,Apollo Healthco,Apollo Healthco,,1101274.0,0.09514840000000001,MT
FY'25-26,Aug'25,S000248785,8061150765.0,45870.0,Face,,1061131098.0,Apollo Healthco Ltd_Raipur,8904417312546.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,Vitamin C Face Wash 150 ml,399.0,24.0,3043.22,547.78,9576.0,0.625,1004.0,1101274.0,Sales,Direct,West,CG,Apollo Healthco,Apollo Healthco,,1101274.0,0.0304322,MT
FY'25-26,Aug'25,S000248785,8061150765.0,45870.0,Body,,1061131098.0,Apollo Healthco Ltd_Raipur,8904417317053.0,275.0,Mamaearth,Body Wash,Body,Body Wash,Ubtan,Ubtan Moisturizing Body Wash 275 ml,299.0,5.0,532.12,95.78,1495.0,0.5800000000000001,1004.0,1101274.0,Sales,Direct,West,CG,Apollo Healthco,Apollo Healthco,,1101274.0,0.0053212,MT
FY'25-26,Aug'25,S000248785,8061150765.0,45870.0,Hair,,1061131098.0,Apollo Healthco Ltd_Raipur,8906087772187.0,400.0,Mamaearth,Shampoo,Hair,Shampoo,Onion,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin 400ml,559.0,60.0,10516.79,1893.02,33540.0,0.629999701848539,1004.0,1101274.0,Sales,Direct,West,CG,Apollo Healthco,Apollo Healthco,,1101274.0,0.10516790000000001,MT
FY'25-26,Aug'25,9201864570.0,8061150766.0,45870.0,Face,,1061131177.0,Reliance Retail Limited-S2BZ,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,419.0,4656.0,661310.23,119035.77,1950864.0,0.5999997949626422,1004.0,1103528.0,Sales,Direct,North,Lucknow-UPE,Reliance Retail Limited,Reliance Retail Limited,,1103528.0,6.6131022999999995,MT
FY'25-26,Aug'25,5110568588.0,8061150768.0,45870.0,Face,,1061131185.0,Reliance Retail Limited_SL6S,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,419.0,192.0,27270.31,4908.69,80448.0,0.6000024860779634,1004.0,1102952.0,Sales,Direct,North,Rajasthan,Reliance Retail Limited,Reliance Retail Limited,,1102952.0,0.27270310000000003,MT
FY'25-26,Aug'25,5002394768.0,8061150785.0,45872.0,Hair,,1061131388.0,Avenue Supermarts Ltd.-DC-1091,8904417303537.0,600.0,Mamaearth,Shampoo,Hair,Shampoo,Onion,Onion Shampoo 600 ml,899.0,240.0,77710.16,13987.84,215760.0,0.575,1004.0,1103576.0,Sales,Direct,North,Haryana,D-Mart,D-Mart,,1103576.0,0.7771016000000001,MT
FY'25-26,Aug'25,5002399097.0,8061150786.0,45872.0,Hair,,1061131389.0,Avenue Supermarts Ltd.-DC-1050,8904417315073.0,600.0,Mamaearth,Shampoo,Hair,Shampoo,Rosemary,Rosemary Anti-Hairfall Shampoo 600 ml,899.0,396.0,125204.96,22536.86,356004.0,0.5849995505668475,1004.0,1101911.0,Sales,Direct,North,Punjab,D-Mart,D-Mart,,1101911.0,1.2520496,MT
FY'25-26,Aug'25,5002399097.0,8061150786.0,45872.0,Hair,,1061131389.0,Avenue Supermarts Ltd.-DC-1050,8904417315073.0,600.0,Mamaearth,Shampoo,Hair,Shampoo,Rosemary,Rosemary Anti-Hairfall Shampoo 600 ml,899.0,84.0,26558.63,4780.55,75516.0,0.5849994703109275,1004.0,1101911.0,Sales,Direct,North,Punjab,D-Mart,D-Mart,,1101911.0,0.2655863,MT
FY'25-26,Aug'25,5002394825.0,8061150787.0,45872.0,Hair,,1061131387.0,Avenue Supermarts Ltd.-DC-1050,8904417303537.0,600.0,Mamaearth,Shampoo,Hair,Shampoo,Onion,Onion Shampoo 600 ml,899.0,360.0,116565.25,20981.75,323640.0,0.575,1004.0,1101911.0,Sales,Direct,North,Punjab,D-Mart,D-Mart,,1101911.0,1.1656525,MT
FY'25-26,Aug'25,9201850145.0,8061150957.0,45873.0,Face,,1061131217.0,Reliance Retail Limited_Sk8I,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,419.0,1344.0,190893.16,34360.84,563136.0,0.6000007103079896,1004.0,1101085.0,Sales,Direct,North,Uttarakhand,Reliance Retail Limited,Reliance Retail Limited,,1101085.0,1.9089316,MT
FY'25-26,Aug'25,9201850144.0,8061150960.0,45873.0,Face,,1061131320.0,Reliance Retail Limited_Fr89,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,419.0,1680.0,238616.95,42951.05,703920.0,0.6,1004.0,1100929.0,Sales,Direct,North,Lucknow-UPE,Reliance Retail Limited,Reliance Retail Limited,,1100929.0,2.3861695000000003,MT
